cell,k,small_size,branch,category,value
k5_s4,5,4,dZ_mlp1,within_short,2.54527
k5_s4,5,4,dZ_mlp1,within_long_near,0.9416
k5_s4,5,4,dZ_mlp1,within_long_far,1.21013
k5_s4,5,4,dZ_mlp1,cross,1.03228
k5_s4,5,4,dZ_attn2,within_short,10.49095
k5_s4,5,4,dZ_attn2,within_long_near,18.34701
k5_s4,5,4,dZ_attn2,within_long_far,19.10976
k5_s4,5,4,dZ_attn2,cross,15.81705
k5_s4,5,4,dZ_mlp2,within_short,-18.58185
k5_s4,5,4,dZ_mlp2,within_long_near,-1.42918
k5_s4,5,4,dZ_mlp2,within_long_far,1.9926
k5_s4,5,4,dZ_mlp2,cross,-23.50258
k5_s5,5,5,dZ_attn1,within_short,5.60835
k5_s5,5,5,dZ_attn1,within_long_near,3.58842
k5_s5,5,5,dZ_attn1,within_long_far,0.4573
k5_s5,5,5,dZ_attn1,cross,0.81136
k5_s5,5,5,dZ_mlp1,within_short,4.77654
k5_s5,5,5,dZ_mlp1,within_long_near,0.72806
k5_s5,5,5,dZ_mlp1,within_long_far,1.48145
k5_s5,5,5,dZ_mlp1,cross,2.09741
k5_s5,5,5,dZ_attn2,within_short,14.84789
k5_s5,5,5,dZ_attn2,within_long_near,19.03858
k5_s5,5,5,dZ_attn2,within_long_far,21.99919
k5_s5,5,5,dZ_attn2,cross,18.84544
k5_s5,5,5,dZ_mlp2,within_short,-20.17033
k5_s5,5,5,dZ_mlp2,within_long_near,-2.75197
k5_s5,5,5,dZ_mlp2,within_long_far,-2.38839
k5_s5,5,5,dZ_mlp2,cross,-23.45117
k6_s2,6,2,dZ_attn1,within_short,14.53051
k6_s2,6,2,dZ_attn1,within_long_near,3.53215
k6_s2,6,2,dZ_attn1,within_long_far,0.37303
k6_s2,6,2,dZ_attn1,cross,0.99176
k6_s2,6,2,dZ_mlp1,within_short,6.56824
k6_s2,6,2,dZ_mlp1,within_long_near,1.10272
k6_s2,6,2,dZ_mlp1,within_long_far,1.09944
k6_s2,6,2,dZ_mlp1,cross,-0.29765
k6_s2,6,2,dZ_attn2,within_short,3.22752
k6_s2,6,2,dZ_attn2,within_long_near,15.84692
k6_s2,6,2,dZ_attn2,within_long_far,10.89389
k6_s2,6,2,dZ_attn2,cross,11.22808
k6_s2,6,2,dZ_mlp2,within_short,-14.13948
k6_s2,6,2,dZ_mlp2,within_long_near,1.08478
k6_s2,6,2,dZ_mlp2,within_long_far,8.81848
k6_s2,6,2,dZ_mlp2,cross,-16.78194
k6_s3,6,3,dZ_attn1,within_short,10.72981
k6_s3,6,3,dZ_attn1,within_long_near,3.54007
k6_s3,6,3,dZ_attn1,within_long_far,0.31567
k6_s3,6,3,dZ_attn1,cross,0.88241
k6_s3,6,3,dZ_mlp1,within_short,5.27685
k6_s3,6,3,dZ_mlp1,within_long_near,0.96237
k6_s3,6,3,dZ_mlp1,within_long_far,1.21643
k6_s3,6,3,dZ_mlp1,cross,0.41026
k6_s3,6,3,dZ_attn2,within_short,8.72575
k6_s3,6,3,dZ_attn2,within_long_near,18.18589
k6_s3,6,3,dZ_attn2,within_long_far,18.24264
k6_s3,6,3,dZ_attn2,cross,18.22439
k6_s3,6,3,dZ_mlp2,within_short,-14.77018
k6_s3,6,3,dZ_mlp2,within_long_near,0.34919
k6_s3,6,3,dZ_mlp2,within_long_far,5.26256
k6_s3,6,3,dZ_mlp2,cross,-25.86258
k6_s4,6,4,dZ_attn1,within_short,7.54694
k6_s4,6,4,dZ_attn1,within_long_near,3.55108
k6_s4,6,4,dZ_attn1,within_long_far,0.41095
k6_s4,6,4,dZ_attn1,cross,0.97052
k6_s4,6,4,dZ_mlp1,within_short,2.95145
k6_s4,6,4,dZ_mlp1,within_long_near,0.74551
k6_s4,6,4,dZ_mlp1,within_long_far,1.52235
k6_s4,6,4,dZ_mlp1,cross,1.15303
k6_s4,6,4,dZ_attn2,within_short,12.55308
k6_s4,6,4,dZ_attn2,within_long_near,19.69812
k6_s4,6,4,dZ_attn2,within_long_far,22.89726
k6_s4,6,4,dZ_attn2,cross,18.68675
k6_s4,6,4,dZ_mlp2,within_short,-16.41922
k6_s4,6,4,dZ_mlp2,within_long_near,-2.73694
k6_s4,6,4,dZ_mlp2,within_long_far,-1.20547
k6_s4,6,4,dZ_mlp2,cross,-23.35726
k7_s2,7,2,dZ_attn1,within_short,14.91337
k7_s2,7,2,dZ_attn1,within_long_near,3.54825
k7_s2,7,2,dZ_attn1,within_long_far,0.34964
k7_s2,7,2,dZ_attn1,cross,1.12247
k7_s2,7,2,dZ_mlp1,within_short,6.74354
k7_s2,7,2,dZ_mlp1,within_long_near,1.02403
k7_s2,7,2,dZ_mlp1,within_long_far,1.12126
k7_s2,7,2,dZ_mlp1,cross,-0.3206
k7_s2,7,2,dZ_attn2,within_short,3.83894
k7_s2,7,2,dZ_attn2,within_long_near,16.5937
k7_s2,7,2,dZ_attn2,within_long_far,13.26218
k7_s2,7,2,dZ_attn2,cross,13.79757
k7_s2,7,2,dZ_mlp2,within_short,-8.56354
k7_s2,7,2,dZ_mlp2,within_long_near,0.41854
k7_s2,7,2,dZ_mlp2,within_long_far,6.72463
k7_s2,7,2,dZ_mlp2,cross,-16.36469
k7_s3,7,3,dZ_attn1,within_short,10.84446
k7_s3,7,3,dZ_attn1,within_long_near,3.52025
k7_s3,7,3,dZ_attn1,within_long_far,0.33361
k7_s3,7,3,dZ_attn1,cross,1.09181
k7_s3,7,3,dZ_mlp1,within_short,5.45044
k7_s3,7,3,dZ_mlp1,within_long_near,0.88409
k7_s3,7,3,dZ_mlp1,within_long_far,1.37
k7_s3,7,3,dZ_mlp1,cross,0.48068
k7_s3,7,3,dZ_attn2,within_short,9.97892
k7_s3,7,3,dZ_attn2,within_long_near,19.41357
k7_s3,7,3,dZ_attn2,within_long_far,21.67846
k7_s3,7,3,dZ_attn2,cross,20.73309
k7_s3,7,3,dZ_mlp2,within_short,-8.61695
k7_s3,7,3,dZ_mlp2,within_long_near,-0.93802
k7_s3,7,3,dZ_mlp2,within_long_far,2.44387
k7_s3,7,3,dZ_mlp2,cross,-25.83033
