cell,k,small_size,stage,quantity,value
k6_s4,6,4,H0,mu_short,0.07306
k6_s4,6,4,H0,mu_long_near,0.12391
k6_s4,6,4,H0,mu_long_far,-0.02178
k6_s4,6,4,H0,mu_cross,-0.02357
k6_s4,6,4,H0,M_far,0.00178
k6_s4,6,4,Hattn1,mu_short,0.30379
k6_s4,6,4,Hattn1,mu_long_near,0.23247
k6_s4,6,4,Hattn1,mu_long_far,-0.00922
k6_s4,6,4,Hattn1,mu_cross,0.0061
k6_s4,6,4,Hattn1,M_far,-0.01532
k6_s4,6,4,H1,mu_short,0.39402
k6_s4,6,4,H1,mu_long_near,0.25527
k6_s4,6,4,H1,mu_long_far,0.03732
k6_s4,6,4,H1,mu_cross,0.04135
k6_s4,6,4,H1,M_far,-0.00403
k6_s4,6,4,Hattn2,mu_short,0.77779
k6_s4,6,4,Hattn2,mu_long_near,0.85747
k6_s4,6,4,Hattn2,mu_long_far,0.73733
k6_s4,6,4,Hattn2,mu_cross,0.61264
k6_s4,6,4,Hattn2,M_far,0.12469
k6_s4,6,4,H2,mu_short,0.27582
k6_s4,6,4,H2,mu_long_near,0.7738
k6_s4,6,4,H2,mu_long_far,0.70048
k6_s4,6,4,H2,mu_cross,-0.10143
k6_s4,6,4,H2,M_far,0.80191
k7_s2,7,2,H0,mu_short,0.16117
k7_s2,7,2,H0,mu_long_near,0.11497
k7_s2,7,2,H0,mu_long_far,-0.01961
k7_s2,7,2,H0,mu_cross,-0.03291
k7_s2,7,2,H0,M_far,0.0133
k7_s2,7,2,Hattn1,mu_short,0.6171
k7_s2,7,2,Hattn1,mu_long_near,0.22345
k7_s2,7,2,Hattn1,mu_long_far,-0.00892
k7_s2,7,2,Hattn1,mu_cross,0.0014
k7_s2,7,2,Hattn1,M_far,-0.01032
k7_s2,7,2,H1,mu_short,0.82326
k7_s2,7,2,H1,mu_long_near,0.25475
k7_s2,7,2,H1,mu_long_far,0.02536
k7_s2,7,2,H1,mu_cross,-0.0084
k7_s2,7,2,H1,M_far,0.03376
k7_s2,7,2,Hattn2,mu_short,0.94063
k7_s2,7,2,Hattn2,mu_long_near,0.76205
k7_s2,7,2,Hattn2,mu_long_far,0.43081
k7_s2,7,2,Hattn2,mu_cross,0.41342
k7_s2,7,2,Hattn2,M_far,0.01739
k7_s2,7,2,H2,mu_short,0.67882
k7_s2,7,2,H2,mu_long_near,0.77485
k7_s2,7,2,H2,mu_long_far,0.63639
k7_s2,7,2,H2,mu_cross,-0.08688
k7_s2,7,2,H2,M_far,0.72327
k7_s3,7,3,H0,mu_short,0.09305
k7_s3,7,3,H0,mu_long_near,0.12061
k7_s3,7,3,H0,mu_long_far,-0.02161
k7_s3,7,3,H0,mu_cross,-0.0261
k7_s3,7,3,H0,M_far,0.00448
k7_s3,7,3,Hattn1,mu_short,0.42458
k7_s3,7,3,Hattn1,mu_long_near,0.22824
k7_s3,7,3,Hattn1,mu_long_far,-0.01141
k7_s3,7,3,Hattn1,mu_cross,0.00728
k7_s3,7,3,Hattn1,M_far,-0.0187
k7_s3,7,3,H1,mu_short,0.59121
k7_s3,7,3,H1,mu_long_near,0.25526
k7_s3,7,3,H1,mu_long_far,0.03047
k7_s3,7,3,H1,mu_cross,0.02198
k7_s3,7,3,H1,M_far,0.00849
k7_s3,7,3,Hattn2,mu_short,0.89629
k7_s3,7,3,Hattn2,mu_long_near,0.84877
k7_s3,7,3,Hattn2,mu_long_far,0.69322
k7_s3,7,3,Hattn2,mu_cross,0.65582
k7_s3,7,3,Hattn2,M_far,0.03739
k7_s3,7,3,H2,mu_short,0.63285
k7_s3,7,3,H2,mu_long_near,0.82009
k7_s3,7,3,H2,mu_long_far,0.76793
k7_s3,7,3,H2,mu_cross,-0.13386
k7_s3,7,3,H2,M_far,0.90179
