split_a,pair_type,mean_hTw,frac_positive,n_pairs
2,within_long_d13,11.9046,0.9994,50
2,within_long_d14,11.7766,0.9989,48
2,within_long_d15,11.6304,0.9989,46
2,within_long_d16,11.4732,0.9989,44
2,within_long_d17,11.3056,0.999,42
2,within_long_d18,11.1241,0.9991,40
2,within_long_d19,10.9298,0.9991,38
2,within_long_d20,10.7248,0.9992,36
2,within_long_d21,10.5045,0.9994,34
2,within_long_d22,10.2749,0.9989,32
2,within_long_d23,10.0254,0.9988,30
2,within_long_d24,9.7548,0.9986,28
2,within_long_d25,9.4606,0.9983,26
2,within_long_d26,9.1379,0.9977,24
2,within_long_d27,8.7737,0.9986,22
2,within_long_d28,8.4602,0.9992,20
2,within_long_d29,8.3611,1.0,18
2,within_long_d30,8.2084,1.0,16
2,within_long_d31,8.2124,1.0,14
2,within_long_d32,8.2101,1.0,12
2,within_long_d33,8.2609,1.0,10
2,within_long_d34,8.4068,1.0,8
2,within_long_d35,8.4904,1.0,6
2,within_long_d36,8.5297,1.0,4
2,within_long_d37,8.2325,1.0,2
3,within_long,23.741,1.0,266400
3,within_short,37.8364,1.0,1200
3,cut,-12.8695,0.0065,22200
3,cut,-22.8488,0.0,22200
3,within_long_d1,44.2497,1.0,72
3,within_long_d2,40.7804,1.0,70
3,within_long_d3,43.866,1.0,68
3,within_long_d4,46.3725,1.0,66
3,within_long_d5,46.7979,1.0,64
3,within_long_d6,42.819,1.0,62
3,within_long_d7,42.5327,1.0,60
3,within_long_d8,50.7979,1.0,58
3,within_long_d9,26.775,1.0,56
3,within_long_d10,9.5133,1.0,54
3,within_long_d11,9.4731,1.0,52
3,within_long_d12,9.4375,0.9999,50
3,within_long_d13,9.39,0.9999,48
3,within_long_d14,9.3303,1.0,46
3,within_long_d15,9.2691,0.9999,44
3,within_long_d16,9.2113,1.0,42
3,within_long_d17,9.1515,0.9999,40
3,within_long_d18,9.09,1.0,38
3,within_long_d19,9.0241,1.0,36
3,within_long_d20,8.9684,0.9999,34
3,within_long_d21,8.917,0.9998,32
3,within_long_d22,8.8747,0.9998,30
3,within_long_d23,8.8406,0.9998,28
3,within_long_d24,8.8029,0.9998,26
3,within_long_d25,8.7823,1.0,24
3,within_long_d26,8.7644,1.0,22
3,within_long_d27,8.6675,1.0,20
3,within_long_d28,8.6289,1.0,18
3,within_long_d29,8.5889,1.0,16
3,within_long_d30,8.6272,1.0,14
3,within_long_d31,8.6138,1.0,12
3,within_long_d32,8.7617,1.0,10
3,within_long_d33,9.0967,1.0,8
3,within_long_d34,9.4596,1.0,6
3,within_long_d35,9.8044,1.0,4
3,within_long_d36,9.5968,1.0,2
4,within_long,21.6589,1.0,252000
4,within_short,35.1158,1.0,2400
4,cut,-6.5578,0.0,28800
4,cut,-18.5578,0.0,28800
4,within_long_d1,42.913,1.0,70
4,within_long_d2,39.3228,1.0,68
4,within_long_d3,42.2141,1.0,66
4,within_long_d4,44.4072,1.0,64
4,within_long_d5,44.5809,1.0,62
4,within_long_d6,40.5732,1.0,60
4,within_long_d7,40.1694,1.0,58
4,within_long_d8,47.3173,1.0,56
4,within_long_d9,23.6313,1.0,54
4,within_long_d10,6.3391,1.0,52
4,within_long_d11,6.3095,1.0,50
4,within_long_d12,6.3101,1.0,48
4,within_long_d13,6.2994,1.0,46
4,within_long_d14,6.2869,1.0,44
4,within_long_d15,6.279,1.0,42
4,within_long_d16,6.2724,1.0,40
4,within_long_d17,6.2783,1.0,38
4,within_long_d18,6.286,1.0,36
4,within_long_d19,6.3037,1.0,34
4,within_long_d20,6.339,1.0,32
4,within_long_d21,6.3853,1.0,30
4,within_long_d22,6.4516,1.0,28
4,within_long_d23,6.5404,1.0,26
4,within_long_d24,6.6594,1.0,24
4,within_long_d25,6.8131,1.0,22
4,within_long_d26,6.8548,1.0,20
4,within_long_d27,6.8455,1.0,18
4,within_long_d28,6.8384,1.0,16
4,within_long_d29,6.8093,1.0,14
4,within_long_d30,6.721,1.0,12
4,within_long_d31,6.8547,1.0,10
4,within_long_d32,7.2385,1.0,8
4,within_long_d33,7.6172,1.0,6
4,within_long_d34,8.1918,1.0,4
4,within_long_d35,8.1948,1.0,2
5,within_long,23.7547,1.0,238000
5,within_short,36.8019,1.0,4000
5,cut,-6.746,0.0,35000
5,cut,-14.6678,0.0,35000
5,within_long_d1,45.4262,1.0,68
5,within_long_d2,41.9781,1.0,66
5,within_long_d3,44.9881,1.0,64
5,within_long_d4,47.3136,1.0,62
5,within_long_d5,47.7257,1.0,60
5,within_long_d6,43.7931,1.0,58
5,within_long_d7,43.6626,1.0,56
5,within_long_d8,51.7408,1.0,54
5,within_long_d9,26.5515,1.0,52
5,within_long_d10,7.3574,1.0,50
5,within_long_d11,7.3102,1.0,48
5,within_long_d12,7.2749,1.0,46
5,within_long_d13,7.232,1.0,44
5,within_long_d14,7.1792,1.0,42
5,within_long_d15,7.1229,1.0,40
5,within_long_d16,7.0668,1.0,38
5,within_long_d17,7.0149,1.0,36
5,within_long_d18,6.9752,1.0,34
5,within_long_d19,6.9416,1.0,32
5,within_long_d20,6.9163,1.0,30
5,within_long_d21,6.9028,1.0,28
5,within_long_d22,6.8963,1.0,26
5,within_long_d23,6.9114,1.0,24
