split_a,pair_type,mean_cos,frac_positive,n_pairs
4,within_short,0.9127,1.0,2400
4,cut,-0.6457,0.0,33600
4,cut,-0.6457,0.0,33600
4,within_long_d1,0.9916,1.0,82
4,within_long_d2,0.9844,1.0,80
4,within_long_d3,0.9828,1.0,78
4,within_long_d4,0.982,1.0,76
4,within_long_d5,0.9813,1.0,74
4,within_long_d6,0.9806,1.0,72
4,within_long_d7,0.9799,1.0,70
4,within_long_d8,0.9793,1.0,68
4,within_long_d9,0.9788,1.0,66
4,within_long_d10,0.9786,1.0,64
4,within_long_d11,0.9784,1.0,62
4,within_long_d12,0.9782,1.0,60
4,within_long_d13,0.9779,1.0,58
4,within_long_d14,0.9775,1.0,56
4,within_long_d15,0.978,1.0,54
4,within_long_d16,0.981,1.0,52
4,within_long_d17,0.9842,1.0,50
4,within_long_d18,0.9793,1.0,48
4,within_long_d19,0.9701,1.0,46
4,within_long_d20,0.9704,1.0,44
4,within_long_d21,0.9707,1.0,42
4,within_long_d22,0.9711,1.0,40
4,within_long_d23,0.9714,1.0,38
4,within_long_d24,0.9718,1.0,36
4,within_long_d25,0.9723,1.0,34
4,within_long_d26,0.973,1.0,32
4,within_long_d27,0.9737,1.0,30
4,within_long_d28,0.9743,1.0,28
4,within_long_d29,0.9746,1.0,26
4,within_long_d30,0.9748,1.0,24
4,within_long_d31,0.975,1.0,22
4,within_long_d32,0.9751,1.0,20
4,within_long_d33,0.9755,1.0,18
4,within_long_d34,0.9757,1.0,16
4,within_long_d35,0.9757,1.0,14
4,within_long_d36,0.9757,1.0,12
4,within_long_d37,0.9757,1.0,10
4,within_long_d38,0.9751,1.0,8
4,within_long_d39,0.9737,1.0,6
4,within_long_d40,0.9737,1.0,4
4,within_long_d41,0.974,1.0,2
5,within_long,0.8714,1.0,328000
5,within_short,0.9119,1.0,4000
5,cut,-0.5903,0.0,41000
5,cut,-0.5903,0.0,41000
5,within_long_d1,0.947,1.0,80
5,within_long_d2,0.9029,1.0,78
5,within_long_d3,0.8928,1.0,76
5,within_long_d4,0.8889,1.0,74
5,within_long_d5,0.8856,1.0,72
5,within_long_d6,0.8822,1.0,70
5,within_long_d7,0.8788,1.0,68
5,within_long_d8,0.8755,1.0,66
5,within_long_d9,0.8738,1.0,64
5,within_long_d10,0.8722,1.0,62
5,within_long_d11,0.8714,1.0,60
5,within_long_d12,0.8701,1.0,58
