cell,k,small_size,stage,quantity,value
k5_s4,5,4,Hattn2,mu_long_far,0.63275
k5_s4,5,4,Hattn2,mu_cross,0.51861
k5_s4,5,4,Hattn2,M_far,0.11414
k5_s4,5,4,H2,mu_short,0.12762
k5_s4,5,4,H2,mu_long_near,0.77797
k5_s4,5,4,H2,mu_long_far,0.69098
k5_s4,5,4,H2,mu_cross,-0.19588
k5_s4,5,4,H2,M_far,0.88685
k5_s5,5,5,H0,mu_short,0.07035
k5_s5,5,5,H0,mu_long_near,0.12328
k5_s5,5,5,H0,mu_long_far,-0.02275
k5_s5,5,5,H0,mu_cross,-0.02271
k5_s5,5,5,H0,M_far,-5e-05
k5_s5,5,5,Hattn1,mu_short,0.255
k5_s5,5,5,Hattn1,mu_long_near,0.22443
k5_s5,5,5,Hattn1,mu_long_far,-0.00328
k5_s5,5,5,Hattn1,mu_cross,0.01019
k5_s5,5,5,Hattn1,M_far,-0.01347
k5_s5,5,5,H1,mu_short,0.37851
k5_s5,5,5,H1,mu_long_near,0.25619
k5_s5,5,5,H1,mu_long_far,0.03827
k5_s5,5,5,H1,mu_cross,0.06424
k5_s5,5,5,H1,M_far,-0.02598
k5_s5,5,5,Hattn2,mu_short,0.85098
k5_s5,5,5,Hattn2,mu_long_near,0.83548
k5_s5,5,5,Hattn2,mu_long_far,0.70073
k5_s5,5,5,Hattn2,mu_cross,0.64336
k5_s5,5,5,Hattn2,M_far,0.05736
k5_s5,5,5,H2,mu_short,0.19509
k5_s5,5,5,H2,mu_long_near,0.77572
k5_s5,5,5,H2,mu_long_far,0.68736
k5_s5,5,5,H2,mu_cross,-0.02585
k5_s5,5,5,H2,M_far,0.71321
k6_s2,6,2,H0,mu_short,0.17638
k6_s2,6,2,H0,mu_long_near,0.11175
k6_s2,6,2,H0,mu_long_far,-0.02055
k6_s2,6,2,H0,mu_cross,-0.03141
k6_s2,6,2,H0,M_far,0.01086
k6_s2,6,2,Hattn1,mu_short,0.63944
k6_s2,6,2,Hattn1,mu_long_near,0.2115
k6_s2,6,2,Hattn1,mu_long_far,-0.00735
k6_s2,6,2,Hattn1,mu_cross,0.00918
k6_s2,6,2,Hattn1,M_far,-0.01653
k6_s2,6,2,H1,mu_short,0.81684
k6_s2,6,2,H1,mu_long_near,0.25417
k6_s2,6,2,H1,mu_long_far,0.02648
k6_s2,6,2,H1,mu_cross,-0.01102
k6_s2,6,2,H1,M_far,0.03751
k6_s2,6,2,Hattn2,mu_short,0.91448
k6_s2,6,2,Hattn2,mu_long_near,0.73409
k6_s2,6,2,Hattn2,mu_long_far,0.32768
k6_s2,6,2,Hattn2,mu_cross,0.30143
k6_s2,6,2,Hattn2,M_far,0.02625
k6_s2,6,2,H2,mu_short,0.42171
k6_s2,6,2,H2,mu_long_near,0.8225
k6_s2,6,2,H2,mu_long_far,0.71803
k6_s2,6,2,H2,mu_cross,-0.11985
k6_s2,6,2,H2,M_far,0.83788
k6_s3,6,3,H0,mu_short,0.10814
k6_s3,6,3,H0,mu_long_near,0.1161
k6_s3,6,3,H0,mu_long_far,-0.02105
k6_s3,6,3,H0,mu_cross,-0.0264
k6_s3,6,3,H0,M_far,0.00535
k6_s3,6,3,Hattn1,mu_short,0.45328
k6_s3,6,3,Hattn1,mu_long_near,0.21545
k6_s3,6,3,Hattn1,mu_long_far,-0.00729
k6_s3,6,3,Hattn1,mu_cross,0.01083
k6_s3,6,3,Hattn1,M_far,-0.01812
k6_s3,6,3,H1,mu_short,0.56351
k6_s3,6,3,H1,mu_long_near,0.25483
k6_s3,6,3,H1,mu_long_far,0.02794
k6_s3,6,3,H1,mu_cross,0.00774
k6_s3,6,3,H1,M_far,0.0202
k6_s3,6,3,Hattn2,mu_short,0.83181
k6_s3,6,3,Hattn2,mu_long_near,0.83225
k6_s3,6,3,Hattn2,mu_long_far,0.62191
k6_s3,6,3,Hattn2,mu_cross,0.57166
k6_s3,6,3,Hattn2,M_far,0.05025
k6_s3,6,3,H2,mu_short,0.1826
k6_s3,6,3,H2,mu_long_near,0.82496
k6_s3,6,3,H2,mu_long_far,0.75746
k6_s3,6,3,H2,mu_cross,-0.19647
k6_s3,6,3,H2,M_far,0.95393
k6_s4,6,4,H0,mu_short,0.07327
k6_s4,6,4,H0,mu_long_near,0.12262
k6_s4,6,4,H0,mu_long_far,-0.02278
k6_s4,6,4,H0,mu_cross,-0.02372
k6_s4,6,4,H0,M_far,0.00093
k6_s4,6,4,Hattn1,mu_short,0.31935
k6_s4,6,4,Hattn1,mu_long_near,0.22338
k6_s4,6,4,Hattn1,mu_long_far,-0.004
k6_s4,6,4,Hattn1,mu_cross,0.01599
k6_s4,6,4,Hattn1,M_far,-0.01999
k6_s4,6,4,H1,mu_short,0.39009
k6_s4,6,4,H1,mu_long_near,0.25546
k6_s4,6,4,H1,mu_long_far,0.03829
k6_s4,6,4,H1,mu_cross,0.037
k6_s4,6,4,H1,M_far,0.00129
k6_s4,6,4,Hattn2,mu_short,0.77543
k6_s4,6,4,Hattn2,mu_long_near,0.8729
k6_s4,6,4,Hattn2,mu_long_far,0.75895
k6_s4,6,4,Hattn2,mu_cross,0.6227
k6_s4,6,4,Hattn2,M_far,0.13625
k6_s4,6,4,H2,mu_short,0.16252
k6_s4,6,4,H2,mu_long_near,0.76466
k6_s4,6,4,H2,mu_long_far,0.70493
k6_s4,6,4,H2,mu_cross,-0.17614
k6_s4,6,4,H2,M_far,0.88106
k7_s2,7,2,H0,mu_short,0.15843
k7_s2,7,2,H0,mu_long_near,0.11336
k7_s2,7,2,H0,mu_long_far,-0.02092
k7_s2,7,2,H0,mu_cross,-0.03107
k7_s2,7,2,H0,M_far,0.01015
k7_s2,7,2,Hattn1,mu_short,0.63028
k7_s2,7,2,Hattn1,mu_long_near,0.21282
k7_s2,7,2,Hattn1,mu_long_far,-0.00774
k7_s2,7,2,Hattn1,mu_cross,0.01343
k7_s2,7,2,Hattn1,M_far,-0.02118
k7_s2,7,2,H1,mu_short,0.81295
k7_s2,7,2,H1,mu_long_near,0.25443
k7_s2,7,2,H1,mu_long_far,0.02665
k7_s2,7,2,H1,mu_cross,-0.00754
k7_s2,7,2,H1,M_far,0.03419
k7_s2,7,2,Hattn2,mu_short,0.93104
k7_s2,7,2,Hattn2,mu_long_near,0.75515
k7_s2,7,2,Hattn2,mu_long_far,0.40124
k7_s2,7,2,Hattn2,mu_cross,0.37764
k7_s2,7,2,Hattn2,M_far,0.0236
k7_s2,7,2,H2,mu_short,0.53898
k7_s2,7,2,H2,mu_long_near,0.84157
k7_s2,7,2,H2,mu_long_far,0.75063
k7_s2,7,2,H2,mu_cross,-0.05029
k7_s2,7,2,H2,M_far,0.80092
k7_s3,7,3,H0,mu_short,0.09187
k7_s3,7,3,H0,mu_long_near,0.1196
k7_s3,7,3,H0,mu_long_far,-0.0223
k7_s3,7,3,H0,mu_cross,-0.02564
k7_s3,7,3,H0,M_far,0.00334
k7_s3,7,3,Hattn1,mu_short,0.44043
k7_s3,7,3,Hattn1,mu_long_near,0.22066
k7_s3,7,3,Hattn1,mu_long_far,-0.0067
k7_s3,7,3,Hattn1,mu_cross,0.01929
k7_s3,7,3,Hattn1,M_far,-0.02599
k7_s3,7,3,H1,mu_short,0.55948
k7_s3,7,3,H1,mu_long_near,0.25561
k7_s3,7,3,H1,mu_long_far,0.03138
k7_s3,7,3,H1,mu_cross,0.01609
k7_s3,7,3,H1,M_far,0.01529
k7_s3,7,3,Hattn2,mu_short,0.86971
k7_s3,7,3,Hattn2,mu_long_near,0.86893
k7_s3,7,3,Hattn2,mu_long_far,0.72789
k7_s3,7,3,Hattn2,mu_cross,0.66067
k7_s3,7,3,Hattn2,M_far,0.06721
k7_s3,7,3,H2,mu_short,0.3016
k7_s3,7,3,H2,mu_long_near,0.82845
k7_s3,7,3,H2,mu_long_far,0.77603
k7_s3,7,3,H2,mu_cross,-0.14298
k7_s3,7,3,H2,M_far,0.91902
