split_a,pair_type,mean_cos,frac_positive,n_pairs
12,within_long_d30,0.5802,1.0,8
12,within_long_d31,0.546,1.0,6
12,within_long_d32,0.4903,1.0,4
12,within_long_d33,0.4332,1.0,2
13,within_long,0.7966,1.0,211200
13,within_short,0.7398,1.0,31200
13,cut,0.379,0.9812,85800
13,cut,0.379,0.9812,85800
13,within_long_d1,0.9738,1.0,64
13,within_long_d2,0.9386,1.0,62
13,within_long_d3,0.9089,1.0,60
13,within_long_d4,0.8813,1.0,58
13,within_long_d5,0.8543,1.0,56
13,within_long_d6,0.8282,1.0,54
13,within_long_d7,0.8066,1.0,52
13,within_long_d8,0.7923,1.0,50
13,within_long_d9,0.7818,1.0,48
13,within_long_d10,0.7741,1.0,46
13,within_long_d11,0.77,1.0,44
13,within_long_d12,0.7695,1.0,42
13,within_long_d13,0.7709,1.0,40
13,within_long_d14,0.7715,1.0,38
13,within_long_d15,0.7668,1.0,36
13,within_long_d16,0.7578,1.0,34
13,within_long_d17,0.7492,1.0,32
13,within_long_d18,0.7404,1.0,30
13,within_long_d19,0.7301,1.0,28
13,within_long_d20,0.7186,1.0,26
13,within_long_d21,0.7066,1.0,24
13,within_long_d22,0.695,1.0,22
13,within_long_d23,0.6857,1.0,20
13,within_long_d24,0.6794,1.0,18
13,within_long_d25,0.6733,1.0,16
13,within_long_d26,0.6603,1.0,14
13,within_long_d27,0.6379,1.0,12
13,within_long_d28,0.6129,1.0,10
13,within_long_d29,0.5792,1.0,8
13,within_long_d30,0.5445,1.0,6
13,within_long_d31,0.4887,1.0,4
13,within_long_d32,0.4305,1.0,2
14,within_long,0.7944,1.0,198400
14,within_short,0.7552,1.0,36400
14,cut,0.5594,1.0,89600
14,cut,0.5594,1.0,89600
14,within_long_d1,0.9733,1.0,62
14,within_long_d2,0.9377,1.0,60
14,within_long_d3,0.9077,1.0,58
14,within_long_d4,0.8795,1.0,56
14,within_long_d5,0.8517,1.0,54
14,within_long_d6,0.8251,1.0,52
14,within_long_d7,0.8029,1.0,50
14,within_long_d8,0.7881,1.0,48
14,within_long_d9,0.777,1.0,46
14,within_long_d10,0.7691,1.0,44
14,within_long_d11,0.765,1.0,42
14,within_long_d12,0.7646,1.0,40
14,within_long_d13,0.7658,1.0,38
14,within_long_d14,0.7659,1.0,36
14,within_long_d15,0.7598,1.0,34
