cell,k,small_size,pair_type,mean_cos,frac_positive,n_pairs
k5_s4,5,4,cut,-0.1956,0.0,76800
k5_s4,5,4,cut,-0.1956,0.0,76800
k5_s4,5,4,within_long_d1,0.9095,1.0,46
k5_s4,5,4,within_long_d2,0.8314,1.0,44
k5_s4,5,4,within_long_d3,0.7903,1.0,42
k5_s4,5,4,within_long_d4,0.7624,1.0,40
k5_s4,5,4,within_long_d5,0.7427,1.0,38
k5_s4,5,4,within_long_d6,0.736,1.0,36
k5_s4,5,4,within_long_d7,0.7239,1.0,34
k5_s4,5,4,within_long_d8,0.7194,1.0,32
k5_s4,5,4,within_long_d9,0.7126,1.0,30
k5_s4,5,4,within_long_d10,0.7042,1.0,28
k5_s4,5,4,within_long_d11,0.7019,1.0,26
k5_s4,5,4,within_long_d12,0.7027,1.0,24
k5_s4,5,4,within_long_d13,0.7022,1.0,22
k5_s4,5,4,within_long_d14,0.6982,1.0,20
k5_s4,5,4,within_long_d15,0.7075,1.0,18
k5_s4,5,4,within_long_d16,0.739,1.0,16
k5_s4,5,4,within_long_d17,0.7595,1.0,14
k5_s4,5,4,within_long_d18,0.6942,1.0,12
k5_s4,5,4,within_long_d19,0.5777,1.0,10
k5_s4,5,4,within_long_d20,0.5821,1.0,8
k5_s4,5,4,within_long_d21,0.5761,1.0,6
k5_s4,5,4,within_long_d22,0.5706,1.0,4
k5_s4,5,4,within_long_d23,0.56,1.0,2
k5_s5,5,5,within_long,0.7517,1.0,76000
k5_s5,5,5,within_short,0.1943,0.2106,76000
k5_s5,5,5,cut,-0.0259,0.0002,80000
k5_s5,5,5,cut,-0.0259,0.0002,80000
k5_s5,5,5,within_long_d1,0.9125,1.0,38
k5_s5,5,5,within_long_d2,0.8364,1.0,36
k5_s5,5,5,within_long_d3,0.7913,1.0,34
k5_s5,5,5,within_long_d4,0.7574,1.0,32
k5_s5,5,5,within_long_d5,0.7348,1.0,30
k5_s5,5,5,within_long_d6,0.7328,1.0,28
k5_s5,5,5,within_long_d7,0.7192,1.0,26
k5_s5,5,5,within_long_d8,0.7154,1.0,24
k5_s5,5,5,within_long_d9,0.7048,1.0,22
k5_s5,5,5,within_long_d10,0.69,1.0,20
k5_s5,5,5,within_long_d11,0.686,1.0,18
k5_s5,5,5,within_long_d12,0.687,1.0,16
k5_s5,5,5,within_long_d13,0.6884,1.0,14
k5_s5,5,5,within_long_d14,0.6895,1.0,12
k5_s5,5,5,within_long_d15,0.6968,1.0,10
k5_s5,5,5,within_long_d16,0.7216,1.0,8
k5_s5,5,5,within_long_d17,0.7371,1.0,6
k5_s5,5,5,within_long_d18,0.6462,1.0,4
k5_s5,5,5,within_long_d19,0.4995,1.0,2
k6_s2,6,2,within_long,0.7706,1.0,174000
k6_s2,6,2,within_short,0.4214,1.0,18000
k6_s2,6,2,cut,-0.1156,0.0,60000
k6_s2,6,2,cut,-0.1156,0.0,60000
k6_s2,6,2,within_long_d1,0.9181,1.0,58
k6_s2,6,2,within_long_d2,0.8484,1.0,56
k6_s2,6,2,within_long_d3,0.8218,1.0,54
k6_s2,6,2,within_long_d4,0.8094,1.0,52
k6_s2,6,2,within_long_d5,0.8015,1.0,50
k6_s2,6,2,within_long_d6,0.7976,1.0,48
k6_s2,6,2,within_long_d7,0.7904,1.0,46
k6_s2,6,2,within_long_d8,0.7869,1.0,44
k6_s2,6,2,within_long_d9,0.7823,1.0,42
k6_s2,6,2,within_long_d10,0.7739,1.0,40
k6_s2,6,2,within_long_d11,0.7675,1.0,38
k6_s2,6,2,within_long_d12,0.7624,1.0,36
k6_s2,6,2,within_long_d13,0.7559,1.0,34
k6_s2,6,2,within_long_d14,0.7504,1.0,32
k6_s2,6,2,within_long_d15,0.7594,1.0,30
k6_s2,6,2,within_long_d16,0.7899,1.0,28
k6_s2,6,2,within_long_d17,0.8067,1.0,26
k6_s2,6,2,within_long_d18,0.737,1.0,24
k6_s2,6,2,within_long_d19,0.6164,1.0,22
k6_s2,6,2,within_long_d20,0.6118,1.0,20
k6_s2,6,2,within_long_d21,0.6069,1.0,18
k6_s2,6,2,within_long_d22,0.604,1.0,16
k6_s2,6,2,within_long_d23,0.6018,1.0,14
k6_s2,6,2,within_long_d24,0.6009,1.0,12
k6_s2,6,2,within_long_d25,0.6067,1.0,10
k6_s2,6,2,within_long_d26,0.6058,1.0,8
k6_s2,6,2,within_long_d27,0.5987,1.0,6
k6_s2,6,2,within_long_d28,0.5994,1.0,4
k6_s2,6,2,within_long_d29,0.6042,1.0,2
k6_s3,6,3,within_long,0.7958,1.0,120000
k6_s3,6,3,within_short,0.1791,0.2464,42000
k6_s3,6,3,cut,-0.1939,0.0004,75000
k6_s3,6,3,cut,-0.1939,0.0004,75000
k6_s3,6,3,within_long_d1,0.9277,1.0,48
k6_s3,6,3,within_long_d2,0.8623,1.0,46
k6_s3,6,3,within_long_d3,0.8295,1.0,44
k6_s3,6,3,within_long_d4,0.8102,1.0,42
k6_s3,6,3,within_long_d5,0.797,1.0,40
k6_s3,6,3,within_long_d6,0.7918,1.0,38
k6_s3,6,3,within_long_d7,0.7842,1.0,36
k6_s3,6,3,within_long_d8,0.782,1.0,34
k6_s3,6,3,within_long_d9,0.7779,1.0,32
k6_s3,6,3,within_long_d10,0.7693,1.0,30
k6_s3,6,3,within_long_d11,0.7643,1.0,28
k6_s3,6,3,within_long_d12,0.7645,1.0,26
k6_s3,6,3,within_long_d13,0.7653,1.0,24
k6_s3,6,3,within_long_d14,0.7635,1.0,22
k6_s3,6,3,within_long_d15,0.7722,1.0,20
k6_s3,6,3,within_long_d16,0.8007,1.0,18
k6_s3,6,3,within_long_d17,0.8166,1.0,16
k6_s3,6,3,within_long_d18,0.759,1.0,14
k6_s3,6,3,within_long_d19,0.662,1.0,12
k6_s3,6,3,within_long_d20,0.6739,1.0,10
k6_s3,6,3,within_long_d21,0.6718,1.0,8
k6_s3,6,3,within_long_d22,0.6625,1.0,6
k6_s3,6,3,within_long_d23,0.662,1.0,4
k6_s3,6,3,within_long_d24,0.66,1.0,2
k6_s4,6,4,within_long,0.7498,1.0,76000
k6_s4,6,4,within_short,0.1606,0.239,76000
k6_s4,6,4,cut,-0.1766,0.0,80000
k6_s4,6,4,cut,-0.1766,0.0,80000
k6_s4,6,4,within_long_d1,0.913,1.0,38
k6_s4,6,4,within_long_d2,0.8347,1.0,36
k6_s4,6,4,within_long_d3,0.7849,1.0,34
k6_s4,6,4,within_long_d4,0.7454,1.0,32
k6_s4,6,4,within_long_d5,0.7169,1.0,30
k6_s4,6,4,within_long_d6,0.7127,1.0,28
k6_s4,6,4,within_long_d7,0.7007,1.0,26
k6_s4,6,4,within_long_d8,0.7005,1.0,24
k6_s4,6,4,within_long_d9,0.694,1.0,22
k6_s4,6,4,within_long_d10,0.6836,1.0,20
k6_s4,6,4,within_long_d11,0.6829,1.0,18
k6_s4,6,4,within_long_d12,0.6925,1.0,16
k6_s4,6,4,within_long_d13,0.7106,1.0,14
k6_s4,6,4,within_long_d14,0.725,1.0,12
k6_s4,6,4,within_long_d15,0.7439,1.0,10
k6_s4,6,4,within_long_d16,0.77,1.0,8
k6_s4,6,4,within_long_d17,0.7835,1.0,6
k6_s4,6,4,within_long_d18,0.6973,1.0,4
k6_s4,6,4,within_long_d19,0.545,1.0,2
k7_s2,7,2,within_long,0.801,1.0,151200
k7_s2,7,2,within_short,0.5391,1.0,26400
k7_s2,7,2,cut,-0.0455,0.0,67200
k7_s2,7,2,cut,-0.0455,0.0,67200
k7_s2,7,2,within_long_d1,0.9267,1.0,54
k7_s2,7,2,within_long_d2,0.8654,1.0,52
k7_s2,7,2,within_long_d3,0.8423,1.0,50
k7_s2,7,2,within_long_d4,0.8316,1.0,48
k7_s2,7,2,within_long_d5,0.8245,1.0,46
k7_s2,7,2,within_long_d6,0.8215,1.0,44
k7_s2,7,2,within_long_d7,0.815,1.0,42
k7_s2,7,2,within_long_d8,0.8116,1.0,40
k7_s2,7,2,within_long_d9,0.807,1.0,38
k7_s2,7,2,within_long_d10,0.7999,1.0,36
k7_s2,7,2,within_long_d11,0.7947,1.0,34
k7_s2,7,2,within_long_d12,0.7909,1.0,32
k7_s2,7,2,within_long_d13,0.7866,1.0,30
k7_s2,7,2,within_long_d14,0.783,1.0,28
k7_s2,7,2,within_long_d15,0.7899,1.0,26
k7_s2,7,2,within_long_d16,0.8127,1.0,24
k7_s2,7,2,within_long_d17,0.8229,1.0,22
k7_s2,7,2,within_long_d18,0.7544,1.0,20
k7_s2,7,2,within_long_d19,0.6392,1.0,18
k7_s2,7,2,within_long_d20,0.6368,1.0,16
k7_s2,7,2,within_long_d21,0.6347,1.0,14
k7_s2,7,2,within_long_d22,0.6337,1.0,12
k7_s2,7,2,within_long_d23,0.6387,1.0,10
k7_s2,7,2,within_long_d24,0.6361,1.0,8
k7_s2,7,2,within_long_d25,0.6262,1.0,6
k7_s2,7,2,within_long_d26,0.6238,1.0,4
k7_s2,7,2,within_long_d27,0.6259,1.0,2
k7_s3,7,3,within_long,0.8146,1.0,92400
k7_s3,7,3,within_short,0.3052,0.7584,61200
k7_s3,7,3,cut,-0.1482,0.0046,79200
k7_s3,7,3,cut,-0.1482,0.0046,79200
k7_s3,7,3,within_long_d1,0.936,1.0,42
k7_s3,7,3,within_long_d2,0.8756,1.0,40
k7_s3,7,3,within_long_d3,0.841,1.0,38
k7_s3,7,3,within_long_d4,0.8179,1.0,36
k7_s3,7,3,within_long_d5,0.8022,1.0,34
k7_s3,7,3,within_long_d6,0.7967,1.0,32
k7_s3,7,3,within_long_d7,0.7896,1.0,30
k7_s3,7,3,within_long_d8,0.79,1.0,28
k7_s3,7,3,within_long_d9,0.7893,1.0,26
k7_s3,7,3,within_long_d10,0.7818,1.0,24
k7_s3,7,3,within_long_d11,0.7752,1.0,22
k7_s3,7,3,within_long_d12,0.7733,1.0,20
k7_s3,7,3,within_long_d13,0.7807,1.0,18
k7_s3,7,3,within_long_d14,0.7882,1.0,16
k7_s3,7,3,within_long_d15,0.8019,1.0,14
k7_s3,7,3,within_long_d16,0.8265,1.0,12
k7_s3,7,3,within_long_d17,0.8336,1.0,10
k7_s3,7,3,within_long_d18,0.7684,1.0,8
k7_s3,7,3,within_long_d19,0.6602,1.0,6
k7_s3,7,3,within_long_d20,0.6606,1.0,4
k7_s3,7,3,within_long_d21,0.6608,1.0,2
