cell,k,small_size,pair_type,mean_cos,frac_positive,n_pairs
k5_s3,5,3,within_long_d27,0.4258,1.0,2
k5_s4,5,4,within_long,0.7919,1.0,110400
k5_s4,5,4,within_short,0.064,0.2025,48000
k5_s4,5,4,cut,-0.1124,0.0017,76800
k5_s4,5,4,cut,-0.1124,0.0017,76800
k5_s4,5,4,within_long_d1,0.9241,1.0,46
k5_s4,5,4,within_long_d2,0.8606,1.0,44
k5_s4,5,4,within_long_d3,0.8307,1.0,42
k5_s4,5,4,within_long_d4,0.8152,1.0,40
k5_s4,5,4,within_long_d5,0.8067,1.0,38
k5_s4,5,4,within_long_d6,0.7994,1.0,36
k5_s4,5,4,within_long_d7,0.7929,1.0,34
k5_s4,5,4,within_long_d8,0.7872,1.0,32
k5_s4,5,4,within_long_d9,0.7848,1.0,30
k5_s4,5,4,within_long_d10,0.7757,1.0,28
k5_s4,5,4,within_long_d11,0.7682,1.0,26
k5_s4,5,4,within_long_d12,0.7606,1.0,24
k5_s4,5,4,within_long_d13,0.7609,1.0,22
k5_s4,5,4,within_long_d14,0.7542,1.0,20
k5_s4,5,4,within_long_d15,0.7679,1.0,18
k5_s4,5,4,within_long_d16,0.7926,1.0,16
k5_s4,5,4,within_long_d17,0.7908,1.0,14
k5_s4,5,4,within_long_d18,0.7043,1.0,12
k5_s4,5,4,within_long_d19,0.5579,1.0,10
k5_s4,5,4,within_long_d20,0.5486,1.0,8
k5_s4,5,4,within_long_d21,0.5368,1.0,6
k5_s4,5,4,within_long_d22,0.529,1.0,4
k5_s4,5,4,within_long_d23,0.5103,1.0,2
k5_s5,5,5,within_long,0.7955,1.0,76000
k5_s5,5,5,within_short,0.258,0.3437,76000
k5_s5,5,5,cut,0.1596,0.6404,80000
k5_s5,5,5,cut,0.1596,0.6404,80000
k5_s5,5,5,within_long_d1,0.9267,1.0,38
k5_s5,5,5,within_long_d2,0.87,1.0,36
k5_s5,5,5,within_long_d3,0.843,1.0,34
k5_s5,5,5,within_long_d4,0.8213,1.0,32
k5_s5,5,5,within_long_d5,0.8042,1.0,30
k5_s5,5,5,within_long_d6,0.7927,1.0,28
k5_s5,5,5,within_long_d7,0.7739,1.0,26
k5_s5,5,5,within_long_d8,0.7647,1.0,24
k5_s5,5,5,within_long_d9,0.7602,1.0,22
k5_s5,5,5,within_long_d10,0.7513,1.0,20
k5_s5,5,5,within_long_d11,0.7455,1.0,18
k5_s5,5,5,within_long_d12,0.7404,1.0,16
k5_s5,5,5,within_long_d13,0.7301,1.0,14
k5_s5,5,5,within_long_d14,0.7104,1.0,12
k5_s5,5,5,within_long_d15,0.6979,1.0,10
k5_s5,5,5,within_long_d16,0.6933,1.0,8
k5_s5,5,5,within_long_d17,0.6959,1.0,6
k5_s5,5,5,within_long_d18,0.6351,1.0,4
k5_s5,5,5,within_long_d19,0.4989,1.0,2
k6_s2,6,2,within_long,0.7244,1.0,174000
k6_s2,6,2,within_short,0.122,0.1253,18000
k6_s2,6,2,cut,-0.0291,0.0051,60000
k6_s2,6,2,cut,-0.0291,0.0051,60000
k6_s2,6,2,within_long_d1,0.9088,1.0,58
k6_s2,6,2,within_long_d2,0.8385,1.0,56
k6_s2,6,2,within_long_d3,0.8051,1.0,54
k6_s2,6,2,within_long_d4,0.7853,1.0,52
k6_s2,6,2,within_long_d5,0.7734,1.0,50
k6_s2,6,2,within_long_d6,0.7621,1.0,48
k6_s2,6,2,within_long_d7,0.7475,1.0,46
k6_s2,6,2,within_long_d8,0.7372,1.0,44
k6_s2,6,2,within_long_d9,0.733,1.0,42
k6_s2,6,2,within_long_d10,0.7249,1.0,40
k6_s2,6,2,within_long_d11,0.7214,1.0,38
k6_s2,6,2,within_long_d12,0.7133,1.0,36
k6_s2,6,2,within_long_d13,0.7062,1.0,34
k6_s2,6,2,within_long_d14,0.6989,1.0,32
k6_s2,6,2,within_long_d15,0.708,1.0,30
k6_s2,6,2,within_long_d16,0.7234,1.0,28
k6_s2,6,2,within_long_d17,0.7294,1.0,26
k6_s2,6,2,within_long_d18,0.6618,1.0,24
k6_s2,6,2,within_long_d19,0.5284,1.0,22
k6_s2,6,2,within_long_d20,0.527,1.0,20
k6_s2,6,2,within_long_d21,0.5231,1.0,18
k6_s2,6,2,within_long_d22,0.5194,1.0,16
k6_s2,6,2,within_long_d23,0.5173,1.0,14
k6_s2,6,2,within_long_d24,0.5135,1.0,12
k6_s2,6,2,within_long_d25,0.5134,1.0,10
k6_s2,6,2,within_long_d26,0.5106,1.0,8
k6_s2,6,2,within_long_d27,0.5047,1.0,6
k6_s2,6,2,within_long_d28,0.5058,1.0,4
k6_s2,6,2,within_long_d29,0.5069,1.0,2
k6_s3,6,3,within_long,0.7551,1.0,120000
k6_s3,6,3,within_short,0.2111,0.343,42000
k6_s3,6,3,cut,0.0166,0.116,75000
k6_s3,6,3,cut,0.0166,0.116,75000
k6_s3,6,3,within_long_d1,0.9091,1.0,48
k6_s3,6,3,within_long_d2,0.8403,1.0,46
k6_s3,6,3,within_long_d3,0.8079,1.0,44
k6_s3,6,3,within_long_d4,0.7888,1.0,42
k6_s3,6,3,within_long_d5,0.7765,1.0,40
k6_s3,6,3,within_long_d6,0.7653,1.0,38
k6_s3,6,3,within_long_d7,0.7514,1.0,36
k6_s3,6,3,within_long_d8,0.7422,1.0,34
k6_s3,6,3,within_long_d9,0.7394,1.0,32
k6_s3,6,3,within_long_d10,0.7335,1.0,30
k6_s3,6,3,within_long_d11,0.7328,1.0,28
k6_s3,6,3,within_long_d12,0.7288,1.0,26
k6_s3,6,3,within_long_d13,0.7268,1.0,24
k6_s3,6,3,within_long_d14,0.7208,1.0,22
k6_s3,6,3,within_long_d15,0.7335,1.0,20
k6_s3,6,3,within_long_d16,0.7539,1.0,18
k6_s3,6,3,within_long_d17,0.7569,1.0,16
k6_s3,6,3,within_long_d18,0.6749,1.0,14
k6_s3,6,3,within_long_d19,0.5172,1.0,12
k6_s3,6,3,within_long_d20,0.5168,1.0,10
k6_s3,6,3,within_long_d21,0.5112,1.0,8
k6_s3,6,3,within_long_d22,0.5005,1.0,6
k6_s3,6,3,within_long_d23,0.4992,1.0,4
k6_s3,6,3,within_long_d24,0.4965,1.0,2
k6_s4,6,4,within_long,0.874,1.0,76000
k6_s4,6,4,within_short,0.1012,0.3358,76000
k6_s4,6,4,cut,0.105,0.3974,80000
k6_s4,6,4,cut,0.105,0.3974,80000
k6_s4,6,4,within_long_d1,0.9509,1.0,38
k6_s4,6,4,within_long_d2,0.9068,1.0,36
k6_s4,6,4,within_long_d3,0.8852,1.0,34
k6_s4,6,4,within_long_d4,0.8736,1.0,32
k6_s4,6,4,within_long_d5,0.8683,1.0,30
k6_s4,6,4,within_long_d6,0.8665,1.0,28
k6_s4,6,4,within_long_d7,0.8647,1.0,26
k6_s4,6,4,within_long_d8,0.8651,1.0,24
k6_s4,6,4,within_long_d9,0.8674,1.0,22
k6_s4,6,4,within_long_d10,0.8588,1.0,20
k6_s4,6,4,within_long_d11,0.8499,1.0,18
k6_s4,6,4,within_long_d12,0.8422,1.0,16
k6_s4,6,4,within_long_d13,0.8439,1.0,14
k6_s4,6,4,within_long_d14,0.8367,1.0,12
k6_s4,6,4,within_long_d15,0.8445,1.0,10
k6_s4,6,4,within_long_d16,0.8554,1.0,8
k6_s4,6,4,within_long_d17,0.8484,1.0,6
k6_s4,6,4,within_long_d18,0.7776,1.0,4
k6_s4,6,4,within_long_d19,0.6752,1.0,2
k7_s2,7,2,within_long,0.7768,1.0,151200
k7_s2,7,2,within_short,0.2397,0.6258,26400
k7_s2,7,2,cut,0.1366,0.4885,67200
k7_s2,7,2,cut,0.1366,0.4885,67200
k7_s2,7,2,within_long_d1,0.9243,1.0,54
k7_s2,7,2,within_long_d2,0.8642,1.0,52
k7_s2,7,2,within_long_d3,0.8354,1.0,50
k7_s2,7,2,within_long_d4,0.8187,1.0,48
k7_s2,7,2,within_long_d5,0.8092,1.0,46
k7_s2,7,2,within_long_d6,0.8005,1.0,44
k7_s2,7,2,within_long_d7,0.7893,1.0,42
k7_s2,7,2,within_long_d8,0.7808,1.0,40
k7_s2,7,2,within_long_d9,0.7774,1.0,38
k7_s2,7,2,within_long_d10,0.7705,1.0,36
k7_s2,7,2,within_long_d11,0.7677,1.0,34
k7_s2,7,2,within_long_d12,0.7612,1.0,32
k7_s2,7,2,within_long_d13,0.7573,1.0,30
k7_s2,7,2,within_long_d14,0.7527,1.0,28
k7_s2,7,2,within_long_d15,0.7637,1.0,26
k7_s2,7,2,within_long_d16,0.7791,1.0,24
k7_s2,7,2,within_long_d17,0.7809,1.0,22
k7_s2,7,2,within_long_d18,0.7164,1.0,20
k7_s2,7,2,within_long_d19,0.5962,1.0,18
k7_s2,7,2,within_long_d20,0.592,1.0,16
k7_s2,7,2,within_long_d21,0.5889,1.0,14
k7_s2,7,2,within_long_d22,0.5849,1.0,12
k7_s2,7,2,within_long_d23,0.5857,1.0,10
k7_s2,7,2,within_long_d24,0.5827,1.0,8
k7_s2,7,2,within_long_d25,0.5762,1.0,6
k7_s2,7,2,within_long_d26,0.579,1.0,4
k7_s2,7,2,within_long_d27,0.5786,1.0,2
k7_s3,7,3,within_long,0.802,1.0,92400
k7_s3,7,3,within_short,0.4658,0.9997,61200
k7_s3,7,3,cut,0.2126,0.7281,79200
k7_s3,7,3,cut,0.2126,0.7281,79200
k7_s3,7,3,within_long_d1,0.9219,1.0,42
k7_s3,7,3,within_long_d2,0.8615,1.0,40
k7_s3,7,3,within_long_d3,0.832,1.0,38
k7_s3,7,3,within_long_d4,0.8147,1.0,36
k7_s3,7,3,within_long_d5,0.805,1.0,34
k7_s3,7,3,within_long_d6,0.798,1.0,32
k7_s3,7,3,within_long_d7,0.7883,1.0,30
k7_s3,7,3,within_long_d8,0.7825,1.0,28
k7_s3,7,3,within_long_d9,0.7826,1.0,26
k7_s3,7,3,within_long_d10,0.7781,1.0,24
k7_s3,7,3,within_long_d11,0.7769,1.0,22
k7_s3,7,3,within_long_d12,0.7712,1.0,20
k7_s3,7,3,within_long_d13,0.768,1.0,18
k7_s3,7,3,within_long_d14,0.7598,1.0,16
k7_s3,7,3,within_long_d15,0.7712,1.0,14
k7_s3,7,3,within_long_d16,0.7873,1.0,12
k7_s3,7,3,within_long_d17,0.7883,1.0,10
k7_s3,7,3,within_long_d18,0.708,1.0,8
k7_s3,7,3,within_long_d19,0.5524,1.0,6
k7_s3,7,3,within_long_d20,0.5517,1.0,4
k7_s3,7,3,within_long_d21,0.5475,1.0,2
