task 3 -> n=20 p=0.08 L=3 seed=2000  (mixed, bridged held out)
== n20_mixed_roberta_linear_lam0_L3_seed2000 ==
 device=cuda arch=roberta readout=linear lambda=0.0 params=9,479,188
 step  430000 loss=0.00005 bce=0.00005 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  435000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  440000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  445000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  450000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 49s
 step  455000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  460000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=0.9994 2ch=1.000 2cl=1.000 49s
 step  465000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  470000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  475000 loss=0.00004 bce=0.00004 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  480000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  485000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  490000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  495000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  500000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  505000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 47s
 step  510000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  515000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  520000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  525000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  530000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  535000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 47s
 step  540000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  545000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
 step  550000 loss=0.00002 bce=0.00002 lap=0.00 lam=0.0e+00 val=1.0000 2ch=1.000 2cl=1.000 48s
 step  555000 loss=0.00003 bce=0.00003 lap=0.00 lam=0.0e+00 val=0.9998 2ch=1.000 2cl=1.000 48s
