=== Job info ===
Node:  gnode11
Array task: 0  -> seed=1000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=unrestricted, seed=1000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_unrestricted_seed1000
========================================================================

Generating 10,000 ER test graphs (unfiltered) with 16 workers …
  done in 6.7s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  340000 | lr=7.42e-05 | loss=0.000723 | ER=0.9984 | 2chain=0.0005 | 2clique=0.0000 | 29.8s/5000
  step  345000 | lr=7.35e-05 | loss=0.000706 | ER=0.9982 | 2chain=0.0009 | 2clique=0.0000 | 29.8s/5000
  step  350000 | lr=7.28e-05 | loss=0.000703 | ER=0.9988 | 2chain=0.0003 | 2clique=0.0000 | 29.8s/5000
  step  355000 | lr=7.21e-05 | loss=0.000690 | ER=0.9975 | 2chain=0.0014 | 2clique=0.0000 | 29.9s/5000
  step  360000 | lr=7.14e-05 | loss=0.000680 | ER=0.9985 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  365000 | lr=7.07e-05 | loss=0.000680 | ER=0.9991 | 2chain=0.0001 | 2clique=0.0000 | 29.8s/5000
  step  370000 | lr=6.99e-05 | loss=0.000665 | ER=0.9988 | 2chain=0.0000 | 2clique=0.0000 | 29.8s/5000
  step  375000 | lr=6.92e-05 | loss=0.000649 | ER=0.9987 | 2chain=0.0036 | 2clique=0.0004 | 29.8s/5000
  step  380000 | lr=6.85e-05 | loss=0.000642 | ER=0.9976 | 2chain=0.0002 | 2clique=0.0012 | 29.9s/5000
  step  385000 | lr=6.78e-05 | loss=0.000635 | ER=0.9982 | 2chain=0.0008 | 2clique=0.0001 | 29.8s/5000
  step  390000 | lr=6.70e-05 | loss=0.000626 | ER=0.9993 | 2chain=0.0001 | 2clique=0.0007 | 29.9s/5000
  step  395000 | lr=6.63e-05 | loss=0.000613 | ER=0.9991 | 2chain=0.0007 | 2clique=0.0000 | 29.8s/5000
  step  400000 | lr=6.55e-05 | loss=0.000608 | ER=0.9943 | 2chain=0.0080 | 2clique=0.0000 | 29.8s/5000
  step  405000 | lr=6.48e-05 | loss=0.000609 | ER=0.9989 | 2chain=0.0031 | 2clique=0.0009 | 29.8s/5000
  step  410000 | lr=6.40e-05 | loss=0.000592 | ER=0.9982 | 2chain=0.0020 | 2clique=0.0239 | 29.8s/5000
