== eval_threeway_splitchains.py --topology cycle (full behavioural sweep) ==
checkpoint=runs/report9/n46_train/n46_split_cycles_roberta_similarity_lam0_seed1000/last.pt
  arch=roberta readout=similarity n=46 device=cpu topology=cycle
testing 133 distinct 3-way size combinations (partitions of 46, min_size=3)
  sizes=(11, 11, 24) exact=0.450 reach=(1.0,1.0,1.0) cut=(0.9686,1.0,1.0) pos_rate=0.390
  sizes=(11, 12, 23) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.636
  sizes=(11, 13, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.636
  sizes=(11, 14, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.636
  sizes=(11, 15, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.636
  sizes=(11, 16, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.636
  sizes=(11, 17, 18) exact=0.000 reach=(1.0,1.0,1.0) cut=(1.0,1.0,0.0) pos_rate=0.636
  sizes=(12, 12, 22) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(12, 13, 21) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(12, 14, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(12, 15, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(12, 16, 18) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(12, 17, 17) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(13, 13, 20) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(13, 14, 19) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(13, 15, 18) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(13, 16, 17) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(14, 14, 18) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(14, 15, 17) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(14, 16, 16) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  sizes=(15, 15, 16) exact=0.000 reach=(1.0,1.0,1.0) cut=(0.0,0.0,0.0) pos_rate=1.000
  saved -> runs/report9/threeway_splitchains/n46_splitcycles_seed1000/threeway_split.csv
== stagewise_threeway.py --topology cycle (layerwise cosine geometry, 2 cells) ==
checkpoint=runs/report9/n46_train/n46_split_cycles_roberta_similarity_lam0_seed1000/last.pt
  arch=roberta readout=similarity n=46 device=cpu topology=cycle
  [selftest] run_with_stages H2/logits match model.forward_and_embeddings exactly
  stagewise sizes=(3, 21, 22) done (exact H0=0.000, H2=0.000, cut12/13/23 @H2=0.982/0.989/0.000)
  stagewise sizes=(15, 15, 16) done (exact H0=0.000, H2=0.000, cut12/13/23 @H2=0.000/0.000/0.000)
  saved -> runs/report9/stagewise_threeway/n46_splitcycles_seed1000/stagewise_{geometry.npz,metrics.csv,margins.csv}
done: n46_splitcycles_seed1000 (three-cycle test)
