=== Job info ===
Node:  gnode12
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER curriculum: ER(n=40, p=0.05), 4 phases (D≤7→9→10→11)
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/curriculum_er_n40_big_494470/n40_p005_curriculum_big
========================================================================

Generating 10,000 test graphs (D≤11) with 32 workers …
  done in 5.3s
  device: cuda
  parameters: 6,347,304
  Starting curriculum training: total budget 1,000,000 steps
  Initial phase: phase1_d7 (D ≤ 7)
  step  440000 | phase 4 (phase4_d11) | lr=5.95e-05 | loss=0.000034 | exact=0.9984 | pair=1.0000 | 75.6s/5000
  step  445000 | phase 4 (phase4_d11) | lr=5.87e-05 | loss=0.000032 | exact=0.9982 | pair=1.0000 | 75.7s/5000
  step  450000 | phase 4 (phase4_d11) | lr=5.79e-05 | loss=0.000032 | exact=0.9983 | pair=1.0000 | 75.9s/5000
  step  455000 | phase 4 (phase4_d11) | lr=5.71e-05 | loss=0.000041 | exact=0.9979 | pair=1.0000 | 75.6s/5000
  step  460000 | phase 4 (phase4_d11) | lr=5.64e-05 | loss=0.000033 | exact=0.9984 | pair=1.0000 | 75.5s/5000
  step  465000 | phase 4 (phase4_d11) | lr=5.56e-05 | loss=0.000034 | exact=0.9986 | pair=1.0000 | 75.5s/5000
  step  470000 | phase 4 (phase4_d11) | lr=5.48e-05 | loss=0.000030 | exact=0.9986 | pair=1.0000 | 75.3s/5000
  step  475000 | phase 4 (phase4_d11) | lr=5.40e-05 | loss=0.000032 | exact=0.9982 | pair=1.0000 | 75.3s/5000
  step  480000 | phase 4 (phase4_d11) | lr=5.32e-05 | loss=0.000031 | exact=0.9947 | pair=1.0000 | 75.5s/5000
  step  485000 | phase 4 (phase4_d11) | lr=5.24e-05 | loss=0.000030 | exact=0.9992 | pair=1.0000 | 75.3s/5000
  step  490000 | phase 4 (phase4_d11) | lr=5.17e-05 | loss=0.000029 | exact=0.9957 | pair=1.0000 | 75.4s/5000
  step  495000 | phase 4 (phase4_d11) | lr=5.09e-05 | loss=0.000030 | exact=0.9984 | pair=1.0000 | 75.2s/5000
  step  500000 | phase 4 (phase4_d11) | lr=5.01e-05 | loss=0.000029 | exact=0.9984 | pair=1.0000 | 75.4s/5000
  step  505000 | phase 4 (phase4_d11) | lr=4.93e-05 | loss=0.000021 | exact=0.9983 | pair=1.0000 | 75.5s/5000
  step  510000 | phase 4 (phase4_d11) | lr=4.85e-05 | loss=0.000026 | exact=0.9987 | pair=1.0000 | 75.8s/5000
  step  515000 | phase 4 (phase4_d11) | lr=4.77e-05 | loss=0.000022 | exact=0.9984 | pair=1.0000 | 74.8s/5000
  step  520000 | phase 4 (phase4_d11) | lr=4.69e-05 | loss=0.000020 | exact=0.9986 | pair=1.0000 | 75.3s/5000
  step  525000 | phase 4 (phase4_d11) | lr=4.62e-05 | loss=0.000019 | exact=0.9990 | pair=1.0000 | 75.3s/5000
  step  530000 | phase 4 (phase4_d11) | lr=4.54e-05 | loss=0.000030 | exact=0.9984 | pair=1.0000 | 75.3s/5000
  step  535000 | phase 4 (phase4_d11) | lr=4.46e-05 | loss=0.000015 | exact=0.9991 | pair=1.0000 | 75.4s/5000
  step  540000 | phase 4 (phase4_d11) | lr=4.38e-05 | loss=0.000019 | exact=0.9987 | pair=1.0000 | 75.4s/5000
  step  545000 | phase 4 (phase4_d11) | lr=4.30e-05 | loss=0.000023 | exact=0.9985 | pair=1.0000 | 75.3s/5000
  step  550000 | phase 4 (phase4_d11) | lr=4.22e-05 | loss=0.000021 | exact=0.9985 | pair=1.0000 | 75.4s/5000
  step  555000 | phase 4 (phase4_d11) | lr=4.15e-05 | loss=0.000017 | exact=0.9986 | pair=1.0000 | 75.2s/5000
  step  560000 | phase 4 (phase4_d11) | lr=4.07e-05 | loss=0.000020 | exact=0.9981 | pair=1.0000 | 75.3s/5000
  step  565000 | phase 4 (phase4_d11) | lr=3.99e-05 | loss=0.000020 | exact=0.9989 | pair=1.0000 | 75.6s/5000
  step  570000 | phase 4 (phase4_d11) | lr=3.92e-05 | loss=0.000016 | exact=0.9926 | pair=0.9999 | 75.2s/5000
  step  575000 | phase 4 (phase4_d11) | lr=3.84e-05 | loss=0.000020 | exact=0.9985 | pair=1.0000 | 75.1s/5000
  step  580000 | phase 4 (phase4_d11) | lr=3.76e-05 | loss=0.000015 | exact=0.9984 | pair=1.0000 | 75.2s/5000
  step  585000 | phase 4 (phase4_d11) | lr=3.69e-05 | loss=0.000017 | exact=0.9990 | pair=1.0000 | 75.4s/5000
  step  590000 | phase 4 (phase4_d11) | lr=3.61e-05 | loss=0.000014 | exact=0.9988 | pair=1.0000 | 75.2s/5000
  step  595000 | phase 4 (phase4_d11) | lr=3.54e-05 | loss=0.000015 | exact=0.9984 | pair=1.0000 | 75.2s/5000
  step  600000 | phase 4 (phase4_d11) | lr=3.46e-05 | loss=0.000014 | exact=0.9991 | pair=1.0000 | 75.5s/5000
  step  605000 | phase 4 (phase4_d11) | lr=3.39e-05 | loss=0.000014 | exact=0.9988 | pair=1.0000 | 75.3s/5000
  step  610000 | phase 4 (phase4_d11) | lr=3.31e-05 | loss=0.000012 | exact=0.9994 | pair=1.0000 | 75.2s/5000
  step  615000 | phase 4 (phase4_d11) | lr=3.24e-05 | loss=0.000012 | exact=0.9989 | pair=1.0000 | 75.1s/5000
  step  620000 | phase 4 (phase4_d11) | lr=3.16e-05 | loss=0.000013 | exact=0.9991 | pair=1.0000 | 75.3s/5000
  step  625000 | phase 4 (phase4_d11) | lr=3.09e-05 | loss=0.000012 | exact=0.9994 | pair=1.0000 | 75.4s/5000
  step  630000 | phase 4 (phase4_d11) | lr=3.02e-05 | loss=0.000011 | exact=0.9992 | pair=1.0000 | 75.1s/5000
  step  635000 | phase 4 (phase4_d11) | lr=2.95e-05 | loss=0.000011 | exact=0.9995 | pair=1.0000 | 75.1s/5000
  step  640000 | phase 4 (phase4_d11) | lr=2.88e-05 | loss=0.000010 | exact=0.9992 | pair=1.0000 | 75.2s/5000
  step  645000 | phase 4 (phase4_d11) | lr=2.81e-05 | loss=0.000012 | exact=0.9995 | pair=1.0000 | 75.4s/5000
  step  650000 | phase 4 (phase4_d11) | lr=2.73e-05 | loss=0.000010 | exact=0.9992 | pair=1.0000 | 75.7s/5000
  step  655000 | phase 4 (phase4_d11) | lr=2.67e-05 | loss=0.000010 | exact=0.9993 | pair=1.0000 | 75.1s/5000
  step  660000 | phase 4 (phase4_d11) | lr=2.60e-05 | loss=0.000010 | exact=0.9991 | pair=1.0000 | 75.0s/5000
  step  665000 | phase 4 (phase4_d11) | lr=2.53e-05 | loss=0.000009 | exact=0.9991 | pair=1.0000 | 75.4s/5000
  step  670000 | phase 4 (phase4_d11) | lr=2.46e-05 | loss=0.000009 | exact=0.9995 | pair=1.0000 | 75.2s/5000
  step  675000 | phase 4 (phase4_d11) | lr=2.39e-05 | loss=0.000009 | exact=0.9991 | pair=1.0000 | 75.1s/5000
  step  680000 | phase 4 (phase4_d11) | lr=2.33e-05 | loss=0.000009 | exact=0.9994 | pair=1.0000 | 75.3s/5000
  step  685000 | phase 4 (phase4_d11) | lr=2.26e-05 | loss=0.000009 | exact=0.9995 | pair=1.0000 | 75.2s/5000
  step  690000 | phase 4 (phase4_d11) | lr=2.19e-05 | loss=0.000008 | exact=0.9992 | pair=1.0000 | 75.6s/5000
