=== Job info ===
Node:  gnode13
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Big ER training: ER(n=40, p=0.05), filter=unfiltered
  d_model=512, normalized-ReLU, online data, bf16
  Output: runs/retrain_er_n40_big_494127/n40_p005_unfiltered_big
========================================================================

Generating 10,000 test graphs (unfiltered) with 16 workers …
  done in 2.1s
  device: cuda
  parameters: 6,347,304
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  365000 | lr=7.07e-05 | loss=0.000111 | exact=0.9970 | pair=1.0000 | 51.9s for 5000 steps
  step  370000 | lr=6.99e-05 | loss=0.000105 | exact=0.9958 | pair=1.0000 | 52.0s for 5000 steps
  step  375000 | lr=6.92e-05 | loss=0.000125 | exact=0.9953 | pair=1.0000 | 51.9s for 5000 steps
  step  380000 | lr=6.85e-05 | loss=0.000098 | exact=0.9969 | pair=1.0000 | 51.6s for 5000 steps
  step  385000 | lr=6.78e-05 | loss=0.000100 | exact=0.9956 | pair=1.0000 | 52.0s for 5000 steps
  step  390000 | lr=6.70e-05 | loss=0.000100 | exact=0.9976 | pair=1.0000 | 51.7s for 5000 steps
  step  395000 | lr=6.63e-05 | loss=0.000103 | exact=0.9973 | pair=1.0000 | 51.6s for 5000 steps
  step  400000 | lr=6.55e-05 | loss=0.000083 | exact=0.9969 | pair=1.0000 | 51.9s for 5000 steps
  step  405000 | lr=6.48e-05 | loss=0.000091 | exact=0.9972 | pair=1.0000 | 51.7s for 5000 steps
  step  410000 | lr=6.40e-05 | loss=0.000086 | exact=0.9972 | pair=1.0000 | 51.8s for 5000 steps
  step  415000 | lr=6.33e-05 | loss=0.000100 | exact=0.9964 | pair=1.0000 | 52.0s for 5000 steps
  step  420000 | lr=6.25e-05 | loss=0.000074 | exact=0.9987 | pair=1.0000 | 51.9s for 5000 steps
  step  425000 | lr=6.18e-05 | loss=0.000084 | exact=0.9959 | pair=1.0000 | 52.0s for 5000 steps
  step  430000 | lr=6.10e-05 | loss=0.000071 | exact=0.9971 | pair=1.0000 | 51.7s for 5000 steps
  step  435000 | lr=6.02e-05 | loss=0.000079 | exact=0.9978 | pair=1.0000 | 52.1s for 5000 steps
  step  440000 | lr=5.95e-05 | loss=0.000082 | exact=0.9967 | pair=1.0000 | 52.0s for 5000 steps
  step  445000 | lr=5.87e-05 | loss=0.000070 | exact=0.9969 | pair=1.0000 | 51.8s for 5000 steps
  step  450000 | lr=5.79e-05 | loss=0.000074 | exact=0.9974 | pair=1.0000 | 51.6s for 5000 steps
  step  455000 | lr=5.71e-05 | loss=0.000061 | exact=0.9979 | pair=1.0000 | 51.7s for 5000 steps
  step  460000 | lr=5.64e-05 | loss=0.000069 | exact=0.9965 | pair=1.0000 | 51.9s for 5000 steps
  step  465000 | lr=5.56e-05 | loss=0.000055 | exact=0.9980 | pair=1.0000 | 51.8s for 5000 steps
  step  470000 | lr=5.48e-05 | loss=0.000061 | exact=0.9967 | pair=1.0000 | 51.7s for 5000 steps
  step  475000 | lr=5.40e-05 | loss=0.000065 | exact=0.9978 | pair=1.0000 | 51.9s for 5000 steps
  step  480000 | lr=5.32e-05 | loss=0.000060 | exact=0.9963 | pair=1.0000 | 52.1s for 5000 steps
  step  485000 | lr=5.24e-05 | loss=0.000056 | exact=0.9976 | pair=1.0000 | 51.8s for 5000 steps
  step  490000 | lr=5.17e-05 | loss=0.000053 | exact=0.9956 | pair=1.0000 | 51.7s for 5000 steps
  step  495000 | lr=5.09e-05 | loss=0.000055 | exact=0.9983 | pair=1.0000 | 51.9s for 5000 steps
  step  500000 | lr=5.01e-05 | loss=0.000050 | exact=0.9980 | pair=1.0000 | 51.9s for 5000 steps
  step  505000 | lr=4.93e-05 | loss=0.000042 | exact=0.9977 | pair=1.0000 | 52.0s for 5000 steps
  step  510000 | lr=4.85e-05 | loss=0.000046 | exact=0.9981 | pair=1.0000 | 52.0s for 5000 steps
  step  515000 | lr=4.77e-05 | loss=0.000048 | exact=0.9979 | pair=1.0000 | 51.7s for 5000 steps
  step  520000 | lr=4.69e-05 | loss=0.000049 | exact=0.9973 | pair=1.0000 | 51.7s for 5000 steps
  step  525000 | lr=4.62e-05 | loss=0.000037 | exact=0.9983 | pair=1.0000 | 51.8s for 5000 steps
  step  530000 | lr=4.54e-05 | loss=0.000042 | exact=0.9976 | pair=1.0000 | 51.6s for 5000 steps
  step  535000 | lr=4.46e-05 | loss=0.000040 | exact=0.9989 | pair=1.0000 | 51.8s for 5000 steps
  step  540000 | lr=4.38e-05 | loss=0.000039 | exact=0.9988 | pair=1.0000 | 52.0s for 5000 steps
  step  545000 | lr=4.30e-05 | loss=0.000041 | exact=0.9987 | pair=1.0000 | 52.1s for 5000 steps
  step  550000 | lr=4.22e-05 | loss=0.000037 | exact=0.9984 | pair=1.0000 | 51.9s for 5000 steps
  step  555000 | lr=4.15e-05 | loss=0.000039 | exact=0.9983 | pair=1.0000 | 51.5s for 5000 steps
  step  560000 | lr=4.07e-05 | loss=0.000034 | exact=0.9978 | pair=1.0000 | 51.9s for 5000 steps
  step  565000 | lr=3.99e-05 | loss=0.000028 | exact=0.9984 | pair=1.0000 | 51.7s for 5000 steps
  step  570000 | lr=3.92e-05 | loss=0.000032 | exact=0.9990 | pair=1.0000 | 51.6s for 5000 steps
  step  575000 | lr=3.84e-05 | loss=0.000034 | exact=0.9988 | pair=1.0000 | 51.7s for 5000 steps
  step  580000 | lr=3.76e-05 | loss=0.000028 | exact=0.9984 | pair=1.0000 | 51.5s for 5000 steps
  step  585000 | lr=3.69e-05 | loss=0.000029 | exact=0.9989 | pair=1.0000 | 52.3s for 5000 steps
  step  590000 | lr=3.61e-05 | loss=0.000027 | exact=0.9980 | pair=1.0000 | 51.8s for 5000 steps
  step  595000 | lr=3.54e-05 | loss=0.000025 | exact=0.9989 | pair=1.0000 | 51.7s for 5000 steps
  step  600000 | lr=3.46e-05 | loss=0.000028 | exact=0.9988 | pair=1.0000 | 52.1s for 5000 steps
  step  605000 | lr=3.39e-05 | loss=0.000022 | exact=0.9986 | pair=1.0000 | 51.7s for 5000 steps
