=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  285000 | lr=8.13e-05 | loss=0.000841 | ER=0.9948 | 2chain=0.0001 | 2clique=0.0000 | 92.8s/5000
  step  290000 | lr=8.07e-05 | loss=0.000831 | ER=0.9950 | 2chain=0.0001 | 2clique=0.0000 | 93.5s/5000
  step  295000 | lr=8.01e-05 | loss=0.000812 | ER=0.9950 | 2chain=0.0004 | 2clique=0.0000 | 93.3s/5000
  step  300000 | lr=7.95e-05 | loss=0.000798 | ER=0.9959 | 2chain=0.0002 | 2clique=0.0000 | 92.9s/5000
  step  305000 | lr=7.88e-05 | loss=0.000786 | ER=0.9922 | 2chain=0.0000 | 2clique=0.0000 | 93.3s/5000
  step  310000 | lr=7.82e-05 | loss=0.000771 | ER=0.9958 | 2chain=0.0000 | 2clique=0.0000 | 92.6s/5000
  step  315000 | lr=7.75e-05 | loss=0.000749 | ER=0.9961 | 2chain=0.0002 | 2clique=0.0000 | 92.8s/5000
  step  320000 | lr=7.69e-05 | loss=0.000743 | ER=0.9966 | 2chain=0.0001 | 2clique=0.0000 | 93.6s/5000
  step  325000 | lr=7.62e-05 | loss=0.000732 | ER=0.9942 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  330000 | lr=7.55e-05 | loss=0.000717 | ER=0.9970 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  335000 | lr=7.49e-05 | loss=0.000702 | ER=0.9956 | 2chain=0.0003 | 2clique=0.0000 | 93.3s/5000
  step  340000 | lr=7.42e-05 | loss=0.000691 | ER=0.9958 | 2chain=0.0001 | 2clique=0.0000 | 93.1s/5000
  step  345000 | lr=7.35e-05 | loss=0.000684 | ER=0.9969 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  350000 | lr=7.28e-05 | loss=0.000673 | ER=0.9953 | 2chain=0.0001 | 2clique=0.0000 | 93.0s/5000
  step  355000 | lr=7.21e-05 | loss=0.000669 | ER=0.9958 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
  step  360000 | lr=7.14e-05 | loss=0.000651 | ER=0.9960 | 2chain=0.0000 | 2clique=0.0000 | 92.6s/5000
  step  365000 | lr=7.07e-05 | loss=0.000645 | ER=0.9962 | 2chain=0.0003 | 2clique=0.0000 | 93.4s/5000
  step  370000 | lr=6.99e-05 | loss=0.000631 | ER=0.9953 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
  step  375000 | lr=6.92e-05 | loss=0.000623 | ER=0.9948 | 2chain=0.0001 | 2clique=0.0000 | 93.5s/5000
  step  380000 | lr=6.85e-05 | loss=0.000614 | ER=0.9963 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step  385000 | lr=6.78e-05 | loss=0.000605 | ER=0.9960 | 2chain=0.0000 | 2clique=0.0000 | 93.3s/5000
  step  390000 | lr=6.70e-05 | loss=0.000600 | ER=0.9941 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  395000 | lr=6.63e-05 | loss=0.000586 | ER=0.9964 | 2chain=0.0001 | 2clique=0.0000 | 93.4s/5000
  step  400000 | lr=6.55e-05 | loss=0.000584 | ER=0.9956 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  405000 | lr=6.48e-05 | loss=0.000569 | ER=0.9963 | 2chain=0.0000 | 2clique=0.0000 | 93.3s/5000
  step  410000 | lr=6.40e-05 | loss=0.000566 | ER=0.9966 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  415000 | lr=6.33e-05 | loss=0.000561 | ER=0.9968 | 2chain=0.0000 | 2clique=0.0001 | 92.7s/5000
  step  420000 | lr=6.25e-05 | loss=0.000551 | ER=0.9970 | 2chain=0.0000 | 2clique=0.0000 | 93.1s/5000
  step  425000 | lr=6.18e-05 | loss=0.000548 | ER=0.9966 | 2chain=0.0000 | 2clique=0.0000 | 93.8s/5000
  step  430000 | lr=6.10e-05 | loss=0.000532 | ER=0.9962 | 2chain=0.0000 | 2clique=0.0000 | 94.4s/5000
  step  435000 | lr=6.02e-05 | loss=0.000533 | ER=0.9957 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  440000 | lr=5.95e-05 | loss=0.000522 | ER=0.9958 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  445000 | lr=5.87e-05 | loss=0.000516 | ER=0.9970 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
