cell,k,small_size,stage,quantity,value
k5_s4,5,4,H1,mu_long_far,0.06576
k5_s4,5,4,H1,mu_cross,-0.00369
k5_s4,5,4,H1,M_far,0.06944
k5_s4,5,4,Hattn2,mu_short,0.6016
k5_s4,5,4,Hattn2,mu_long_near,0.87082
k5_s4,5,4,Hattn2,mu_long_far,0.72238
k5_s4,5,4,Hattn2,mu_cross,0.51877
k5_s4,5,4,Hattn2,M_far,0.20361
k5_s4,5,4,H2,mu_short,0.06304
k5_s4,5,4,H2,mu_long_near,0.82465
k5_s4,5,4,H2,mu_long_far,0.72659
k5_s4,5,4,H2,mu_cross,-0.09532
k5_s4,5,4,H2,M_far,0.82191
k5_s5,5,5,H0,mu_short,0.0497
k5_s5,5,5,H0,mu_long_near,0.10276
k5_s5,5,5,H0,mu_long_far,-0.05078
k5_s5,5,5,H0,mu_cross,-0.0528
k5_s5,5,5,H0,M_far,0.00203
k5_s5,5,5,Hattn1,mu_short,0.15418
k5_s5,5,5,Hattn1,mu_long_near,0.286
k5_s5,5,5,Hattn1,mu_long_far,0.00072
k5_s5,5,5,Hattn1,mu_cross,-0.00831
k5_s5,5,5,Hattn1,M_far,0.00903
k5_s5,5,5,H1,mu_short,0.19038
k5_s5,5,5,H1,mu_long_near,0.2892
k5_s5,5,5,H1,mu_long_far,0.05156
k5_s5,5,5,H1,mu_cross,0.03512
k5_s5,5,5,H1,M_far,0.01644
k5_s5,5,5,Hattn2,mu_short,0.81208
k5_s5,5,5,Hattn2,mu_long_near,0.8538
k5_s5,5,5,Hattn2,mu_long_far,0.71924
k5_s5,5,5,Hattn2,mu_cross,0.65728
k5_s5,5,5,Hattn2,M_far,0.06196
k5_s5,5,5,H2,mu_short,0.30044
k5_s5,5,5,H2,mu_long_near,0.8095
k5_s5,5,5,H2,mu_long_far,0.72138
k5_s5,5,5,H2,mu_cross,0.20146
k5_s5,5,5,H2,M_far,0.51992
k6_s2,6,2,H0,mu_short,0.30358
k6_s2,6,2,H0,mu_long_near,0.09533
k6_s2,6,2,H0,mu_long_far,-0.04313
k6_s2,6,2,H0,mu_cross,-0.08554
k6_s2,6,2,H0,M_far,0.04241
k6_s2,6,2,Hattn1,mu_short,0.46118
k6_s2,6,2,Hattn1,mu_long_near,0.27375
k6_s2,6,2,Hattn1,mu_long_far,0.01519
k6_s2,6,2,Hattn1,mu_cross,-0.05673
k6_s2,6,2,Hattn1,M_far,0.07191
k6_s2,6,2,H1,mu_short,0.88975
k6_s2,6,2,H1,mu_long_near,0.29873
k6_s2,6,2,H1,mu_long_far,0.08161
k6_s2,6,2,H1,mu_cross,-0.04246
k6_s2,6,2,H1,M_far,0.12407
k6_s2,6,2,Hattn2,mu_short,0.94696
k6_s2,6,2,Hattn2,mu_long_near,0.84721
k6_s2,6,2,Hattn2,mu_long_far,0.63202
k6_s2,6,2,Hattn2,mu_cross,0.55301
k6_s2,6,2,Hattn2,M_far,0.07902
k6_s2,6,2,H2,mu_short,0.11245
k6_s2,6,2,H2,mu_long_near,0.84183
k6_s2,6,2,H2,mu_long_far,0.73514
k6_s2,6,2,H2,mu_cross,0.00669
k6_s2,6,2,H2,M_far,0.72845
k6_s3,6,3,H0,mu_short,0.12736
k6_s3,6,3,H0,mu_long_near,0.09797
k6_s3,6,3,H0,mu_long_far,-0.04637
k6_s3,6,3,H0,mu_cross,-0.06618
k6_s3,6,3,H0,M_far,0.01982
k6_s3,6,3,Hattn1,mu_short,0.22858
k6_s3,6,3,Hattn1,mu_long_near,0.27851
k6_s3,6,3,Hattn1,mu_long_far,0.00992
k6_s3,6,3,Hattn1,mu_cross,-0.03238
k6_s3,6,3,Hattn1,M_far,0.0423
k6_s3,6,3,H1,mu_short,0.59076
k6_s3,6,3,H1,mu_long_near,0.29545
k6_s3,6,3,H1,mu_long_far,0.06929
k6_s3,6,3,H1,mu_cross,-0.03912
k6_s3,6,3,H1,M_far,0.10841
k6_s3,6,3,Hattn2,mu_short,0.83723
k6_s3,6,3,Hattn2,mu_long_near,0.84301
k6_s3,6,3,Hattn2,mu_long_far,0.65082
k6_s3,6,3,Hattn2,mu_cross,0.51146
k6_s3,6,3,Hattn2,M_far,0.13935
k6_s3,6,3,H2,mu_short,0.15591
k6_s3,6,3,H2,mu_long_near,0.81782
k6_s3,6,3,H2,mu_long_far,0.72628
k6_s3,6,3,H2,mu_cross,0.01317
k6_s3,6,3,H2,M_far,0.71311
k6_s4,6,4,H0,mu_short,0.0637
k6_s4,6,4,H0,mu_long_near,0.10263
k6_s4,6,4,H0,mu_long_far,-0.05101
k6_s4,6,4,H0,mu_cross,-0.05627
k6_s4,6,4,H0,M_far,0.00527
k6_s4,6,4,Hattn1,mu_short,0.1581
k6_s4,6,4,Hattn1,mu_long_near,0.28581
k6_s4,6,4,Hattn1,mu_long_far,-8e-05
k6_s4,6,4,Hattn1,mu_cross,-0.01521
k6_s4,6,4,Hattn1,M_far,0.01514
k6_s4,6,4,H1,mu_short,0.25623
k6_s4,6,4,H1,mu_long_near,0.29048
k6_s4,6,4,H1,mu_long_far,0.05171
k6_s4,6,4,H1,mu_cross,-0.00035
k6_s4,6,4,H1,M_far,0.05206
k6_s4,6,4,Hattn2,mu_short,0.62492
k6_s4,6,4,Hattn2,mu_long_near,0.90771
k6_s4,6,4,Hattn2,mu_long_far,0.8195
k6_s4,6,4,Hattn2,mu_cross,0.56914
k6_s4,6,4,Hattn2,M_far,0.25036
k6_s4,6,4,H2,mu_short,0.10225
k6_s4,6,4,H2,mu_long_near,0.87489
k6_s4,6,4,H2,mu_long_far,0.82583
k6_s4,6,4,H2,mu_cross,0.09268
k6_s4,6,4,H2,M_far,0.73315
k7_s2,7,2,H0,mu_short,0.28723
k7_s2,7,2,H0,mu_long_near,0.09634
k7_s2,7,2,H0,mu_long_far,-0.04444
k7_s2,7,2,H0,mu_cross,-0.08381
k7_s2,7,2,H0,M_far,0.03937
k7_s2,7,2,Hattn1,mu_short,0.45027
k7_s2,7,2,Hattn1,mu_long_near,0.2751
k7_s2,7,2,Hattn1,mu_long_far,0.01263
k7_s2,7,2,Hattn1,mu_cross,-0.05453
k7_s2,7,2,Hattn1,M_far,0.06717
k7_s2,7,2,H1,mu_short,0.88811
k7_s2,7,2,H1,mu_long_near,0.29774
k7_s2,7,2,H1,mu_long_far,0.07714
k7_s2,7,2,H1,mu_cross,-0.04105
k7_s2,7,2,H1,M_far,0.11819
k7_s2,7,2,Hattn2,mu_short,0.95732
k7_s2,7,2,Hattn2,mu_long_near,0.87852
k7_s2,7,2,Hattn2,mu_long_far,0.71708
k7_s2,7,2,Hattn2,mu_cross,0.64377
k7_s2,7,2,Hattn2,M_far,0.07331
k7_s2,7,2,H2,mu_short,0.23399
k7_s2,7,2,H2,mu_long_near,0.86481
k7_s2,7,2,H2,mu_long_far,0.7781
k7_s2,7,2,H2,mu_cross,0.19808
k7_s2,7,2,H2,M_far,0.58002
k7_s3,7,3,H0,mu_short,0.11288
k7_s3,7,3,H0,mu_long_near,0.1009
k7_s3,7,3,H0,mu_long_far,-0.04901
k7_s3,7,3,H0,mu_cross,-0.06431
k7_s3,7,3,H0,M_far,0.01529
k7_s3,7,3,Hattn1,mu_short,0.21098
k7_s3,7,3,Hattn1,mu_long_near,0.28291
k7_s3,7,3,Hattn1,mu_long_far,0.00588
k7_s3,7,3,Hattn1,mu_cross,-0.02952
k7_s3,7,3,Hattn1,M_far,0.0354
k7_s3,7,3,H1,mu_short,0.59101
k7_s3,7,3,H1,mu_long_near,0.29259
k7_s3,7,3,H1,mu_long_far,0.05898
k7_s3,7,3,H1,mu_cross,-0.03661
k7_s3,7,3,H1,M_far,0.09559
k7_s3,7,3,Hattn2,mu_short,0.86389
k7_s3,7,3,Hattn2,mu_long_near,0.87761
k7_s3,7,3,Hattn2,mu_long_far,0.74596
k7_s3,7,3,Hattn2,mu_cross,0.59269
k7_s3,7,3,Hattn2,M_far,0.15327
k7_s3,7,3,H2,mu_short,0.41233
k7_s3,7,3,H2,mu_long_near,0.8436
k7_s3,7,3,H2,mu_long_far,0.78759
k7_s3,7,3,H2,mu_cross,0.27202
k7_s3,7,3,H2,M_far,0.51558
