split_a,pair_type,mean_cos,frac_positive,n_pairs
4,within_long_d6,0.7445,1.0,72
4,within_long_d7,0.7316,1.0,70
4,within_long_d8,0.7249,1.0,68
4,within_long_d9,0.7202,1.0,66
4,within_long_d10,0.7163,1.0,64
4,within_long_d11,0.7084,1.0,62
4,within_long_d12,0.6963,1.0,60
4,within_long_d13,0.6816,1.0,58
4,within_long_d14,0.6614,1.0,56
4,within_long_d15,0.6386,1.0,54
4,within_long_d16,0.6181,1.0,52
4,within_long_d17,0.6029,1.0,50
4,within_long_d18,0.597,1.0,48
4,within_long_d19,0.5987,1.0,46
4,within_long_d20,0.6037,1.0,44
4,within_long_d21,0.6089,1.0,42
4,within_long_d22,0.6138,1.0,40
4,within_long_d23,0.618,1.0,38
4,within_long_d24,0.6209,1.0,36
4,within_long_d25,0.6226,1.0,34
4,within_long_d26,0.6235,1.0,32
4,within_long_d27,0.6238,1.0,30
4,within_long_d28,0.6231,1.0,28
4,within_long_d29,0.6214,1.0,26
4,within_long_d30,0.6195,1.0,24
4,within_long_d31,0.6175,1.0,22
4,within_long_d32,0.6161,1.0,20
4,within_long_d33,0.616,1.0,18
4,within_long_d34,0.6195,1.0,16
4,within_long_d35,0.6264,1.0,14
4,within_long_d36,0.6338,1.0,12
4,within_long_d37,0.6447,1.0,10
4,within_long_d38,0.6511,1.0,8
4,within_long_d39,0.6408,1.0,6
4,within_long_d40,0.6339,1.0,4
4,within_long_d41,0.6229,1.0,2
5,within_long,0.7346,1.0,328000
5,within_short,0.9471,1.0,4000
5,cut,-0.4324,0.0,41000
5,cut,-0.4324,0.0,41000
5,within_long_d1,0.9739,1.0,80
5,within_long_d2,0.9242,1.0,78
5,within_long_d3,0.8725,1.0,76
5,within_long_d4,0.8289,1.0,74
5,within_long_d5,0.7995,1.0,72
5,within_long_d6,0.7818,1.0,70
5,within_long_d7,0.771,1.0,68
5,within_long_d8,0.7647,1.0,66
5,within_long_d9,0.7596,1.0,64
5,within_long_d10,0.7541,1.0,62
5,within_long_d11,0.7446,1.0,60
5,within_long_d12,0.7311,1.0,58
5,within_long_d13,0.7156,1.0,56
5,within_long_d14,0.6954,1.0,54
5,within_long_d15,0.6735,1.0,52
5,within_long_d16,0.6539,1.0,50
5,within_long_d17,0.6392,1.0,48
5,within_long_d18,0.6329,1.0,46
5,within_long_d19,0.6332,1.0,44
5,within_long_d20,0.6362,1.0,42
5,within_long_d21,0.6391,1.0,40
5,within_long_d22,0.6418,1.0,38
5,within_long_d23,0.6442,1.0,36
5,within_long_d24,0.6464,1.0,34
5,within_long_d25,0.6485,1.0,32
5,within_long_d26,0.6505,1.0,30
5,within_long_d27,0.6514,1.0,28
5,within_long_d28,0.6508,1.0,26
5,within_long_d29,0.649,1.0,24
5,within_long_d30,0.6464,1.0,22
5,within_long_d31,0.6435,1.0,20
5,within_long_d32,0.639,1.0,18
5,within_long_d33,0.6357,1.0,16
5,within_long_d34,0.6324,1.0,14
5,within_long_d35,0.6279,1.0,12
5,within_long_d36,0.6245,1.0,10
5,within_long_d37,0.6193,1.0,8
5,within_long_d38,0.6134,1.0,6
5,within_long_d39,0.6091,1.0,4
5,within_long_d40,0.6063,1.0,2
6,within_long,0.7548,1.0,312000
6,within_short,0.9082,1.0,6000
6,cut,-0.4421,0.0,48000
6,cut,-0.4421,0.0,48000
6,within_long_d1,0.9762,1.0,78
6,within_long_d2,0.9314,1.0,76
6,within_long_d3,0.885,1.0,74
6,within_long_d4,0.846,1.0,72
6,within_long_d5,0.8196,1.0,70
6,within_long_d6,0.8037,1.0,68
6,within_long_d7,0.7942,1.0,66
6,within_long_d8,0.7888,1.0,64
6,within_long_d9,0.7846,1.0,62
6,within_long_d10,0.7801,1.0,60
6,within_long_d11,0.7717,1.0,58
6,within_long_d12,0.7597,1.0,56
6,within_long_d13,0.7458,1.0,54
6,within_long_d14,0.7272,1.0,52
6,within_long_d15,0.7058,1.0,50
6,within_long_d16,0.6855,1.0,48
6,within_long_d17,0.669,1.0,46
6,within_long_d18,0.6601,1.0,44
6,within_long_d19,0.6581,1.0,42
6,within_long_d20,0.6587,1.0,40
6,within_long_d21,0.6589,1.0,38
6,within_long_d22,0.6586,1.0,36
6,within_long_d23,0.6578,1.0,34
6,within_long_d24,0.6568,1.0,32
6,within_long_d25,0.6555,1.0,30
6,within_long_d26,0.6536,1.0,28
6,within_long_d27,0.6511,1.0,26
6,within_long_d28,0.6482,1.0,24
6,within_long_d29,0.6448,1.0,22
6,within_long_d30,0.6416,1.0,20
6,within_long_d31,0.638,1.0,18
6,within_long_d32,0.6356,1.0,16
6,within_long_d33,0.6333,1.0,14
6,within_long_d34,0.6298,1.0,12
6,within_long_d35,0.628,1.0,10
6,within_long_d36,0.6243,1.0,8
6,within_long_d37,0.6166,1.0,6
6,within_long_d38,0.6109,1.0,4
6,within_long_d39,0.6111,1.0,2
7,within_long,0.7354,1.0,296400
7,within_short,0.8656,1.0,8400
7,cut,-0.4177,0.0,54600
7,cut,-0.4177,0.0,54600
7,within_long_d1,0.9738,1.0,76
7,within_long_d2,0.9245,1.0,74
7,within_long_d3,0.8735,1.0,72
7,within_long_d4,0.8305,1.0,70
7,within_long_d5,0.8013,1.0,68
7,within_long_d6,0.7837,1.0,66
7,within_long_d7,0.7732,1.0,64
7,within_long_d8,0.7673,1.0,62
7,within_long_d9,0.7625,1.0,60
7,within_long_d10,0.7573,1.0,58
7,within_long_d11,0.748,1.0,56
7,within_long_d12,0.7347,1.0,54
7,within_long_d13,0.7194,1.0,52
7,within_long_d14,0.6992,1.0,50
7,within_long_d15,0.6764,1.0,48
7,within_long_d16,0.655,1.0,46
7,within_long_d17,0.6376,1.0,44
7,within_long_d18,0.6286,1.0,42
7,within_long_d19,0.6268,1.0,40
7,within_long_d20,0.6278,1.0,38
7,within_long_d21,0.6283,1.0,36
7,within_long_d22,0.6285,1.0,34
7,within_long_d23,0.6286,1.0,32
7,within_long_d24,0.6286,1.0,30
7,within_long_d25,0.6281,1.0,28
7,within_long_d26,0.627,1.0,26
7,within_long_d27,0.6257,1.0,24
7,within_long_d28,0.624,1.0,22
7,within_long_d29,0.6226,1.0,20
7,within_long_d30,0.621,1.0,18
7,within_long_d31,0.6206,1.0,16
7,within_long_d32,0.62,1.0,14
7,within_long_d33,0.6173,1.0,12
7,within_long_d34,0.6161,1.0,10
7,within_long_d35,0.6109,1.0,8
7,within_long_d36,0.6001,1.0,6
7,within_long_d37,0.5981,1.0,4
7,within_long_d38,0.6001,1.0,2
8,within_long,0.7691,1.0,281200
8,within_short,0.8326,1.0,11200
8,cut,-0.3916,0.0,60800
8,cut,-0.3916,0.0,60800
8,within_long_d1,0.977,1.0,74
8,within_long_d2,0.9336,1.0,72
8,within_long_d3,0.8887,1.0,70
8,within_long_d4,0.8505,1.0,68
8,within_long_d5,0.8245,1.0,66
8,within_long_d6,0.8085,1.0,64
8,within_long_d7,0.7988,1.0,62
8,within_long_d8,0.7931,1.0,60
8,within_long_d9,0.7884,1.0,58
8,within_long_d10,0.7835,1.0,56
8,within_long_d11,0.7749,1.0,54
8,within_long_d12,0.763,1.0,52
8,within_long_d13,0.7496,1.0,50
8,within_long_d14,0.7323,1.0,48
8,within_long_d15,0.7128,1.0,46
8,within_long_d16,0.6947,1.0,44
8,within_long_d17,0.68,1.0,42
8,within_long_d18,0.6724,1.0,40
8,within_long_d19,0.671,1.0,38
8,within_long_d20,0.6718,1.0,36
8,within_long_d21,0.6725,1.0,34
8,within_long_d22,0.6731,1.0,32
8,within_long_d23,0.6739,1.0,30
8,within_long_d24,0.6745,1.0,28
8,within_long_d25,0.6748,1.0,26
8,within_long_d26,0.675,1.0,24
8,within_long_d27,0.675,1.0,22
8,within_long_d28,0.6752,1.0,20
8,within_long_d29,0.6755,1.0,18
8,within_long_d30,0.6769,1.0,16
8,within_long_d31,0.6781,1.0,14
8,within_long_d32,0.6773,1.0,12
8,within_long_d33,0.6773,1.0,10
8,within_long_d34,0.6726,1.0,8
8,within_long_d35,0.6608,1.0,6
8,within_long_d36,0.6593,1.0,4
8,within_long_d37,0.6584,1.0,2
9,within_long,0.801,1.0,266400
9,within_short,0.8167,1.0,14400
9,cut,-0.3586,0.0,66600
