split_a,pair_type,mean_hTw,frac_positive,n_pairs
6,within_long_d6,7.4517,1.0,56
6,within_long_d7,6.2571,1.0,54
6,within_long_d8,4.7164,1.0,52
6,within_long_d9,1.9875,0.9972,50
6,within_long_d10,1.5189,0.9932,48
6,within_long_d11,1.5122,0.9925,46
6,within_long_d12,1.504,0.9918,44
6,within_long_d13,1.505,0.9927,42
6,within_long_d14,1.5157,0.9922,40
6,within_long_d15,1.5336,0.9925,38
6,within_long_d16,1.5552,0.9943,36
6,within_long_d17,1.5784,0.9949,34
6,within_long_d18,1.6037,0.9953,32
6,within_long_d19,1.6331,0.9973,30
6,within_long_d20,1.664,0.998,28
6,within_long_d21,1.6925,0.9988,26
6,within_long_d22,1.7102,0.9988,24
6,within_long_d23,1.7125,0.9989,22
6,within_long_d24,1.7106,0.9988,20
6,within_long_d25,1.7225,0.9992,18
6,within_long_d26,1.7657,0.9991,16
6,within_long_d27,1.8057,0.9996,14
6,within_long_d28,1.8333,1.0,12
6,within_long_d29,1.8556,1.0,10
6,within_long_d30,1.866,1.0,8
6,within_long_d31,1.8078,1.0,6
6,within_long_d32,1.8007,1.0,4
6,within_long_d33,1.8595,1.0,2
7,within_long,4.6665,0.9621,211200
7,within_short,17.074,1.0,8400
7,cut,1.0912,0.9073,46200
7,cut,-3.8394,0.0,46200
7,within_long_d1,12.1725,1.0,64
7,within_long_d2,12.9986,1.0,62
7,within_long_d3,12.8975,1.0,60
7,within_long_d4,8.9448,1.0,58
7,within_long_d5,7.9539,1.0,56
7,within_long_d6,6.9034,1.0,54
7,within_long_d7,5.7101,1.0,52
7,within_long_d8,4.1713,1.0,50
7,within_long_d9,1.4951,0.9442,48
7,within_long_d10,1.0298,0.8867,46
7,within_long_d11,1.0248,0.8793,44
7,within_long_d12,1.0215,0.8808,42
7,within_long_d13,1.0283,0.8799,40
7,within_long_d14,1.0469,0.8924,38
7,within_long_d15,1.075,0.9001,36
7,within_long_d16,1.1095,0.9172,34
7,within_long_d17,1.1454,0.9317,32
7,within_long_d18,1.1879,0.9497,30
7,within_long_d19,1.2352,0.9668,28
7,within_long_d20,1.2804,0.9788,26
7,within_long_d21,1.314,0.9844,24
7,within_long_d22,1.3333,0.9857,22
7,within_long_d23,1.3468,0.9872,20
7,within_long_d24,1.3755,0.9897,18
7,within_long_d25,1.4297,0.9934,16
7,within_long_d26,1.4799,0.9968,14
7,within_long_d27,1.5226,1.0,12
7,within_long_d28,1.5556,0.9995,10
7,within_long_d29,1.5885,0.9994,8
7,within_long_d30,1.5696,1.0,6
7,within_long_d31,1.5947,1.0,4
7,within_long_d32,1.7025,1.0,2
8,within_long,4.3963,0.9105,198400
8,within_short,14.7551,1.0,11200
8,cut,0.8497,0.8234,51200
8,cut,-3.1176,0.0,51200
8,within_long_d1,11.6155,1.0,62
8,within_long_d2,12.4087,1.0,60
8,within_long_d3,12.3133,1.0,58
8,within_long_d4,8.4826,1.0,56
8,within_long_d5,7.5279,1.0,54
8,within_long_d6,6.5092,1.0,52
8,within_long_d7,5.3492,1.0,50
8,within_long_d8,3.8309,0.9999,48
8,within_long_d9,1.2034,0.8598,46
8,within_long_d10,0.7515,0.7495,44
8,within_long_d11,0.746,0.7485,42
8,within_long_d12,0.7437,0.7524,40
8,within_long_d13,0.752,0.7512,38
8,within_long_d14,0.7727,0.7658,36
8,within_long_d15,0.8026,0.79,34
8,within_long_d16,0.8373,0.8125,32
8,within_long_d17,0.8788,0.8425,30
8,within_long_d18,0.9244,0.8689,28
8,within_long_d19,0.9671,0.8898,26
8,within_long_d20,1.0001,0.9069,24
8,within_long_d21,1.0172,0.9145,22
8,within_long_d22,1.0298,0.9207,20
8,within_long_d23,1.056,0.9344,18
8,within_long_d24,1.1039,0.9437,16
8,within_long_d25,1.155,0.9661,14
8,within_long_d26,1.1993,0.9838,12
8,within_long_d27,1.2471,0.9875,10
8,within_long_d28,1.2983,0.9975,8
8,within_long_d29,1.3185,0.9992,6
8,within_long_d30,1.386,1.0,4
8,within_long_d31,1.5447,1.0,2
9,within_long,4.2259,0.8628,186000
9,within_short,12.242,1.0,14400
9,cut,0.622,0.7012,55800
9,cut,-2.5546,0.0017,55800
9,within_long_d1,11.2117,1.0,60
9,within_long_d2,11.9632,1.0,58
9,within_long_d3,11.8791,1.0,56
9,within_long_d4,8.1637,1.0,54
9,within_long_d5,7.2385,1.0,52
9,within_long_d6,6.2333,1.0,50
9,within_long_d7,5.0918,1.0,48
9,within_long_d8,3.5841,1.0,46
9,within_long_d9,1.0124,0.8048,44
9,within_long_d10,0.5612,0.652,42
9,within_long_d11,0.5571,0.6452,40
9,within_long_d12,0.5523,0.6446,38
9,within_long_d13,0.5587,0.6496,36
9,within_long_d14,0.579,0.6641,34
9,within_long_d15,0.6096,0.6928,32
9,within_long_d16,0.6464,0.722,30
9,within_long_d17,0.6859,0.7593,28
9,within_long_d18,0.7217,0.7833,26
9,within_long_d19,0.7485,0.8031,24
9,within_long_d20,0.7562,0.807,22
9,within_long_d21,0.7634,0.8135,20
9,within_long_d22,0.7814,0.8228,18
9,within_long_d23,0.8225,0.8519,16
9,within_long_d24,0.8681,0.8814,14
9,within_long_d25,0.9154,0.9129,12
9,within_long_d26,0.9722,0.941,10
9,within_long_d27,1.0367,0.9569,8
9,within_long_d28,1.0765,0.975,6
9,within_long_d29,1.1674,0.9812,4
9,within_long_d30,1.3409,0.995,2
10,within_long,4.2183,0.8359,174000
10,within_short,10.7144,0.9998,18000
10,cut,0.5379,0.6416,60000
10,cut,-1.8261,0.1573,60000
