cell,k,small_size,stage,metric,value
k6_s4,6,4,Hattn2,reach_long_far,1.0
k6_s4,6,4,Hattn2,reach_short,0.15789
k6_s4,6,4,Hattn2,cut,0.0
k6_s4,6,4,Hattn2,pred_positive_rate,1.0
k6_s4,6,4,H2,exact,0.0
k6_s4,6,4,H2,reach_long,1.0
k6_s4,6,4,H2,reach_long_near,1.0
k6_s4,6,4,H2,reach_long_far,1.0
k6_s4,6,4,H2,reach_short,0.82401
k6_s4,6,4,H2,cut,0.62445
k6_s4,6,4,H2,pred_positive_rate,0.52957
k7_s2,7,2,H0,exact,0.0
k7_s2,7,2,H0,reach_long,0.14286
k7_s2,7,2,H0,reach_long_near,0.25604
k7_s2,7,2,H0,reach_long_far,0.00585
k7_s2,7,2,H0,reach_short,0.09091
k7_s2,7,2,H0,cut,0.92857
k7_s2,7,2,H0,pred_positive_rate,0.205
k7_s2,7,2,Hattn1,exact,0.0
k7_s2,7,2,Hattn1,reach_long,0.26831
k7_s2,7,2,Hattn1,reach_long_near,0.48762
k7_s2,7,2,Hattn1,reach_long_far,0.00283
k7_s2,7,2,Hattn1,reach_short,0.09091
k7_s2,7,2,Hattn1,cut,0.92857
k7_s2,7,2,Hattn1,pred_positive_rate,0.26428
k7_s2,7,2,H1,exact,0.0
k7_s2,7,2,H1,reach_long,0.38984
k7_s2,7,2,H1,reach_long_near,0.67255
k7_s2,7,2,H1,reach_long_far,0.04761
k7_s2,7,2,H1,reach_short,0.09091
k7_s2,7,2,H1,cut,0.92857
k7_s2,7,2,H1,pred_positive_rate,0.3217
k7_s2,7,2,Hattn2,exact,0.0
k7_s2,7,2,Hattn2,reach_long,1.0
k7_s2,7,2,Hattn2,reach_long_near,1.0
k7_s2,7,2,Hattn2,reach_long_far,1.0
k7_s2,7,2,Hattn2,reach_short,0.09091
k7_s2,7,2,Hattn2,cut,0.0
k7_s2,7,2,Hattn2,pred_positive_rate,1.0
k7_s2,7,2,H2,exact,0.01562
k7_s2,7,2,H2,reach_long,1.0
k7_s2,7,2,H2,reach_long_near,1.0
k7_s2,7,2,H2,reach_long_far,1.0
k7_s2,7,2,H2,reach_short,0.45833
k7_s2,7,2,H2,cut,0.55618
k7_s2,7,2,H2,pred_positive_rate,0.73609
k7_s3,7,3,H0,exact,0.0
k7_s3,7,3,H0,reach_long,0.18182
k7_s3,7,3,H0,reach_long_near,0.26797
k7_s3,7,3,H0,reach_long_far,0.01282
k7_s3,7,3,H0,reach_short,0.60784
k7_s3,7,3,H0,cut,0.93939
k7_s3,7,3,H0,pred_positive_rate,0.205
k7_s3,7,3,Hattn1,exact,0.0
k7_s3,7,3,Hattn1,reach_long,0.3359
k7_s3,7,3,Hattn1,reach_long_near,0.50419
k7_s3,7,3,Hattn1,reach_long_far,0.00581
k7_s3,7,3,Hattn1,reach_short,0.5675
k7_s3,7,3,Hattn1,cut,0.94413
k7_s3,7,3,Hattn1,pred_positive_rate,0.25486
k7_s3,7,3,H1,exact,0.0
k7_s3,7,3,H1,reach_long,0.45455
k7_s3,7,3,H1,reach_long_near,0.66667
k7_s3,7,3,H1,reach_long_far,0.03846
k7_s3,7,3,H1,reach_short,0.11765
k7_s3,7,3,H1,cut,0.93939
k7_s3,7,3,H1,pred_positive_rate,0.3775
k7_s3,7,3,Hattn2,exact,0.0
k7_s3,7,3,Hattn2,reach_long,1.0
k7_s3,7,3,Hattn2,reach_long_near,1.0
k7_s3,7,3,Hattn2,reach_long_far,1.0
k7_s3,7,3,Hattn2,reach_short,0.11765
k7_s3,7,3,Hattn2,cut,0.0
k7_s3,7,3,Hattn2,pred_positive_rate,1.0
k7_s3,7,3,H2,exact,0.0
k7_s3,7,3,H2,reach_long,1.0
k7_s3,7,3,H2,reach_long_near,1.0
k7_s3,7,3,H2,reach_long_far,1.0
k7_s3,7,3,H2,reach_short,0.11887
k7_s3,7,3,H2,cut,0.24235
k7_s3,7,3,H2,pred_positive_rate,0.8798
