cell,k,small_size,stage,quantity,value
k6_s2,6,2,H0,mu_short,0.29224
k6_s2,6,2,H0,mu_long_near,0.10511
k6_s2,6,2,H0,mu_long_far,-0.03243
k6_s2,6,2,H0,mu_cross,-0.08371
k6_s2,6,2,H0,M_far,0.05128
k6_s2,6,2,Hattn1,mu_short,0.45732
k6_s2,6,2,Hattn1,mu_long_near,0.26167
k6_s2,6,2,Hattn1,mu_long_far,0.00498
k6_s2,6,2,Hattn1,mu_cross,-0.06548
k6_s2,6,2,Hattn1,M_far,0.07047
k6_s2,6,2,H1,mu_short,0.87109
k6_s2,6,2,H1,mu_long_near,0.28819
k6_s2,6,2,H1,mu_long_far,0.07118
k6_s2,6,2,H1,mu_cross,-0.03777
k6_s2,6,2,H1,M_far,0.10895
k6_s2,6,2,Hattn2,mu_short,0.92616
k6_s2,6,2,Hattn2,mu_long_near,0.82695
k6_s2,6,2,Hattn2,mu_long_far,0.58299
k6_s2,6,2,Hattn2,mu_cross,0.55844
k6_s2,6,2,Hattn2,M_far,0.02456
k6_s2,6,2,H2,mu_short,0.12108
k6_s2,6,2,H2,mu_long_near,0.79202
k6_s2,6,2,H2,mu_long_far,0.65004
k6_s2,6,2,H2,mu_cross,-0.03155
k6_s2,6,2,H2,M_far,0.68159
k6_s3,6,3,H0,mu_short,0.12458
k6_s3,6,3,H0,mu_long_near,0.1081
k6_s3,6,3,H0,mu_long_far,-0.03622
k6_s3,6,3,H0,mu_cross,-0.06152
k6_s3,6,3,H0,M_far,0.0253
k6_s3,6,3,Hattn1,mu_short,0.2457
k6_s3,6,3,Hattn1,mu_long_near,0.26682
k6_s3,6,3,Hattn1,mu_long_far,-0.00015
k6_s3,6,3,Hattn1,mu_cross,-0.04066
k6_s3,6,3,Hattn1,M_far,0.04051
k6_s3,6,3,H1,mu_short,0.51008
k6_s3,6,3,H1,mu_long_near,0.28536
k6_s3,6,3,H1,mu_long_far,0.05991
k6_s3,6,3,H1,mu_cross,-0.04054
k6_s3,6,3,H1,M_far,0.10045
k6_s3,6,3,Hattn2,mu_short,0.78431
k6_s3,6,3,Hattn2,mu_long_near,0.83032
k6_s3,6,3,Hattn2,mu_long_far,0.62108
k6_s3,6,3,Hattn2,mu_cross,0.48837
k6_s3,6,3,Hattn2,M_far,0.13271
k6_s3,6,3,H2,mu_short,0.206
k6_s3,6,3,H2,mu_long_near,0.79803
k6_s3,6,3,H2,mu_long_far,0.69254
k6_s3,6,3,H2,mu_cross,0.01411
k6_s3,6,3,H2,M_far,0.67842
k6_s4,6,4,H0,mu_short,0.06471
k6_s4,6,4,H0,mu_long_near,0.11217
k6_s4,6,4,H0,mu_long_far,-0.04222
k6_s4,6,4,H0,mu_cross,-0.05002
k6_s4,6,4,H0,M_far,0.00781
k6_s4,6,4,Hattn1,mu_short,0.16413
k6_s4,6,4,Hattn1,mu_long_near,0.27425
k6_s4,6,4,Hattn1,mu_long_far,-0.00833
k6_s4,6,4,Hattn1,mu_cross,-0.02321
k6_s4,6,4,Hattn1,M_far,0.01488
k6_s4,6,4,H1,mu_short,0.27051
k6_s4,6,4,H1,mu_long_near,0.28007
k6_s4,6,4,H1,mu_long_far,0.04433
k6_s4,6,4,H1,mu_cross,0.00104
k6_s4,6,4,H1,M_far,0.04329
k6_s4,6,4,Hattn2,mu_short,0.64113
k6_s4,6,4,Hattn2,mu_long_near,0.89979
k6_s4,6,4,Hattn2,mu_long_far,0.80568
k6_s4,6,4,Hattn2,mu_cross,0.57231
k6_s4,6,4,Hattn2,M_far,0.23338
k6_s4,6,4,H2,mu_short,0.09805
k6_s4,6,4,H2,mu_long_near,0.88073
k6_s4,6,4,H2,mu_long_far,0.83527
k6_s4,6,4,H2,mu_cross,0.09289
k6_s4,6,4,H2,M_far,0.74238
k7_s2,7,2,H0,mu_short,0.27607
k7_s2,7,2,H0,mu_long_near,0.10609
k7_s2,7,2,H0,mu_long_far,-0.03378
k7_s2,7,2,H0,mu_cross,-0.08211
k7_s2,7,2,H0,M_far,0.04833
k7_s2,7,2,Hattn1,mu_short,0.44408
k7_s2,7,2,Hattn1,mu_long_near,0.26327
k7_s2,7,2,Hattn1,mu_long_far,0.00313
k7_s2,7,2,Hattn1,mu_cross,-0.06272
k7_s2,7,2,Hattn1,M_far,0.06584
k7_s2,7,2,H1,mu_short,0.86777
k7_s2,7,2,H1,mu_long_near,0.28713
k7_s2,7,2,H1,mu_long_far,0.06741
k7_s2,7,2,H1,mu_cross,-0.03583
k7_s2,7,2,H1,M_far,0.10323
k7_s2,7,2,Hattn2,mu_short,0.94008
k7_s2,7,2,Hattn2,mu_long_near,0.85836
k7_s2,7,2,Hattn2,mu_long_far,0.67062
k7_s2,7,2,Hattn2,mu_cross,0.64504
k7_s2,7,2,Hattn2,M_far,0.02558
k7_s2,7,2,H2,mu_short,0.23867
k7_s2,7,2,H2,mu_long_near,0.82612
k7_s2,7,2,H2,mu_long_far,0.71597
k7_s2,7,2,H2,mu_cross,0.12934
k7_s2,7,2,H2,M_far,0.58663
k7_s3,7,3,H0,mu_short,0.11
k7_s3,7,3,H0,mu_long_near,0.11039
k7_s3,7,3,H0,mu_long_far,-0.03948
k7_s3,7,3,H0,mu_cross,-0.0594
k7_s3,7,3,H0,M_far,0.01992
k7_s3,7,3,Hattn1,mu_short,0.22853
k7_s3,7,3,Hattn1,mu_long_near,0.27096
k7_s3,7,3,Hattn1,mu_long_far,-0.005
k7_s3,7,3,Hattn1,mu_cross,-0.03737
k7_s3,7,3,Hattn1,M_far,0.03237
k7_s3,7,3,H1,mu_short,0.51065
k7_s3,7,3,H1,mu_long_near,0.28233
k7_s3,7,3,H1,mu_long_far,0.05073
k7_s3,7,3,H1,mu_cross,-0.03634
k7_s3,7,3,H1,M_far,0.08707
k7_s3,7,3,Hattn2,mu_short,0.82016
k7_s3,7,3,Hattn2,mu_long_near,0.86597
k7_s3,7,3,Hattn2,mu_long_far,0.72274
k7_s3,7,3,Hattn2,mu_cross,0.56603
k7_s3,7,3,Hattn2,M_far,0.1567
k7_s3,7,3,H2,mu_short,0.46662
k7_s3,7,3,H2,mu_long_near,0.82687
k7_s3,7,3,H2,mu_long_far,0.75418
k7_s3,7,3,H2,mu_cross,0.21927
k7_s3,7,3,H2,M_far,0.5349
