cell,k,small_size,branch,category,value
k6_s2,6,2,dZ_attn2,within_long_near,17.54646
k6_s2,6,2,dZ_attn2,within_long_far,16.66901
k6_s2,6,2,dZ_attn2,cross,19.41752
k6_s2,6,2,dZ_mlp2,within_short,-26.22011
k6_s2,6,2,dZ_mlp2,within_long_near,-1.1374
k6_s2,6,2,dZ_mlp2,within_long_far,2.18356
k6_s2,6,2,dZ_mlp2,cross,-19.21494
k6_s3,6,3,dZ_attn1,within_short,3.94449
k6_s3,6,3,dZ_attn1,within_long_near,5.16924
k6_s3,6,3,dZ_attn1,within_long_far,1.17492
k6_s3,6,3,dZ_attn1,cross,0.67957
k6_s3,6,3,dZ_mlp1,within_short,8.61062
k6_s3,6,3,dZ_mlp1,within_long_near,0.60379
k6_s3,6,3,dZ_mlp1,within_long_far,1.95589
k6_s3,6,3,dZ_mlp1,cross,0.0037
k6_s3,6,3,dZ_attn2,within_short,8.93096
k6_s3,6,3,dZ_attn2,within_long_near,17.74814
k6_s3,6,3,dZ_attn2,within_long_far,18.27643
k6_s3,6,3,dZ_attn2,cross,17.22571
k6_s3,6,3,dZ_mlp2,within_short,-18.83433
k6_s3,6,3,dZ_mlp2,within_long_near,-1.05144
k6_s3,6,3,dZ_mlp2,within_long_far,2.32715
k6_s3,6,3,dZ_mlp2,cross,-15.44562
k6_s4,6,4,dZ_attn1,within_short,3.23775
k6_s4,6,4,dZ_attn1,within_long_near,5.27848
k6_s4,6,4,dZ_attn1,within_long_far,1.10364
k6_s4,6,4,dZ_attn1,cross,0.8733
k6_s4,6,4,dZ_mlp1,within_short,3.46471
k6_s4,6,4,dZ_mlp1,within_long_near,0.1895
k6_s4,6,4,dZ_mlp1,within_long_far,1.71491
k6_s4,6,4,dZ_mlp1,cross,0.78978
k6_s4,6,4,dZ_attn2,within_short,12.07032
k6_s4,6,4,dZ_attn2,within_long_near,20.18334
k6_s4,6,4,dZ_attn2,within_long_far,24.79595
k6_s4,6,4,dZ_attn2,cross,18.605
k6_s4,6,4,dZ_mlp2,within_short,-17.68709
k6_s4,6,4,dZ_mlp2,within_long_near,-0.62092
k6_s4,6,4,dZ_mlp2,within_long_far,0.96347
k6_s4,6,4,dZ_mlp2,cross,-15.61381
k7_s2,7,2,dZ_attn1,within_short,5.47184
k7_s2,7,2,dZ_attn1,within_long_near,5.11904
k7_s2,7,2,dZ_attn1,within_long_far,1.202
k7_s2,7,2,dZ_attn1,cross,0.63169
k7_s2,7,2,dZ_mlp1,within_short,13.79889
k7_s2,7,2,dZ_mlp1,within_long_near,0.7772
k7_s2,7,2,dZ_mlp1,within_long_far,2.09352
k7_s2,7,2,dZ_mlp1,cross,0.87574
k7_s2,7,2,dZ_attn2,within_short,2.35508
k7_s2,7,2,dZ_attn2,within_long_near,18.60393
k7_s2,7,2,dZ_attn2,within_long_far,19.64543
k7_s2,7,2,dZ_attn2,cross,22.17455
k7_s2,7,2,dZ_mlp2,within_short,-22.84379
k7_s2,7,2,dZ_mlp2,within_long_near,-1.05019
k7_s2,7,2,dZ_mlp2,within_long_far,1.47707
k7_s2,7,2,dZ_mlp2,cross,-16.79535
k7_s3,7,3,dZ_attn1,within_short,3.86047
k7_s3,7,3,dZ_attn1,within_long_near,5.22946
k7_s3,7,3,dZ_attn1,within_long_far,1.12299
k7_s3,7,3,dZ_attn1,cross,0.71747
k7_s3,7,3,dZ_mlp1,within_short,9.18802
k7_s3,7,3,dZ_mlp1,within_long_near,0.37038
k7_s3,7,3,dZ_mlp1,within_long_far,1.81511
k7_s3,7,3,dZ_mlp1,cross,0.03372
k7_s3,7,3,dZ_attn2,within_short,10.0802
k7_s3,7,3,dZ_attn2,within_long_near,19.00795
k7_s3,7,3,dZ_attn2,within_long_far,21.88599
k7_s3,7,3,dZ_attn2,cross,19.61813
k7_s3,7,3,dZ_mlp2,within_short,-11.51414
k7_s3,7,3,dZ_mlp2,within_long_near,-1.27345
k7_s3,7,3,dZ_mlp2,within_long_far,1.0239
k7_s3,7,3,dZ_mlp2,cross,-11.29339
